Address,TCPIP0::192.168.21.71::hislip0::INSTR
Model,EDUX1052A
Serial Number,CN65380116
Start Time,2026-09-8 15:45:37

Sample Count,Time(s),1(VOLT),2(VOLT),
1,-0.0010000000475,-0.351758956909,-2.34030151367,
2,-0.000999000039883,-0.351758956909,-2.34030151367,
3,-0.000998000032268,-0.552763938904,-2.34030151367,
4,-0.000997000024654,-0.351758956909,-2.34030151367,
5,-0.000996000017039,-0.351758956909,-2.34030151367,
6,-0.000995000009425,-0.150753974915,-2.34030151367,
7,-0.00099400000181,-0.150753974915,-2.34030151367,
8,-0.000992999994196,-0.150753974915,-2.13929653168,
9,-0.000991999986582,-0.150753974915,-2.13929653168,
10,-0.000990999978967,-0.150753974915,-2.13929653168,
11,-0.000989999971353,-0.150753974915,-2.13929653168,
12,-0.000988999963738,-0.150753974915,-2.13929653168,
13,-0.000987999956124,0.0502510070801,-2.13929653168,
14,-0.000986999948509,0.0502510070801,-2.13929653168,
15,-0.00098600005731,0.0502510070801,-2.13929653168,
16,-0.000985000049695,0.251255989075,-2.13929653168,
17,-0.000984000042081,0.251255989075,-1.93829154968,
18,-0.000983000034466,0.251255989075,-1.93829154968,
19,-0.000982000026852,0.251255989075,-1.93829154968,
20,-0.000981000019237,0.251255989075,-1.93829154968,
21,-0.000980000011623,0.251255989075,-1.93829154968,
22,-0.000979000004008,0.452260971069,-1.93829154968,
23,-0.000977999996394,0.251255989075,-1.93829154968,
24,-0.000976999988779,0.452260971069,-1.93829154968,
25,-0.000975999981165,0.251255989075,-1.93829154968,
26,-0.00097499997355,0.251255989075,-1.93829154968,
27,-0.000974000024144,0.452260971069,-1.93829154968,
28,-0.000973000016529,0.452260971069,-1.73728656769,
29,-0.000972000008915,0.452260971069,-1.73728656769,
30,-0.0009710000013,0.452260971069,-1.73728656769,
31,-0.000969999993686,0.653265953064,-1.53628158569,
32,-0.000968999986071,0.653265953064,-1.73728656769,
33,-0.000967999978457,0.653265953064,-1.73728656769,
34,-0.00096700002905,0.653265953064,-1.73728656769,
35,-0.000966000021435,0.854271888733,-1.53628158569,
36,-0.000965000013821,0.653265953064,-1.53628158569,
37,-0.000964000006206,0.653265953064,-1.53628158569,
38,-0.000962999998592,0.854271888733,-1.73728656769,
39,-0.000961999990977,0.854271888733,-1.53628158569,
40,-0.000960999983363,0.854271888733,-1.73728656769,
41,-0.000959999975748,0.854271888733,-1.53628158569,
42,-0.000959000026342,0.854271888733,-1.53628158569,
43,-0.000958000018727,0.854271888733,-1.53628158569,
44,-0.000957000011113,0.854271888733,-1.53628158569,
45,-0.000956000003498,0.854271888733,-1.3352766037,
46,-0.000954999995884,1.05527687073,-1.53628158569,
47,-0.000953999988269,1.05527687073,-1.3352766037,
48,-0.000952999980655,1.05527687073,-1.53628158569,
49,-0.00095199997304,1.05527687073,-1.3352766037,
50,-0.000951000023633,1.05527687073,-1.3352766037,
51,-0.000950000016019,1.25628185272,-1.3352766037,
52,-0.000949000008404,1.05527687073,-1.1342716217,
53,-0.00094800000079,1.25628185272,-1.3352766037,
54,-0.000946999993175,1.25628185272,-1.3352766037,
55,-0.000945999985561,1.25628185272,-1.1342716217,
56,-0.000944999977946,1.25628185272,-1.1342716217,
57,-0.000944000028539,1.25628185272,-1.1342716217,
58,-0.000943000020925,1.25628185272,-1.3352766037,
59,-0.00094200001331,1.25628185272,-1.1342716217,
60,-0.000941000005696,1.25628185272,-1.1342716217,
61,-0.000939999998081,1.65829181671,-1.1342716217,
62,-0.000938999990467,1.45728683472,-1.3352766037,
63,-0.000937999982852,1.45728683472,-1.3352766037,
64,-0.000936999975238,1.65829181671,-0.933265686035,
65,-0.000936000025831,1.45728683472,-0.933265686035,
66,-0.000935000018217,1.85929679871,-1.1342716217,
67,-0.000934000010602,1.45728683472,-1.1342716217,
68,-0.000933000002988,1.65829181671,-0.933265686035,
69,-0.000931999995373,1.65829181671,-0.933265686035,
70,-0.000930999987759,1.85929679871,-0.933265686035,
71,-0.000929999980144,1.65829181671,-0.933265686035,
72,-0.00092899997253,1.65829181671,-0.933265686035,
73,-0.000928000023123,1.65829181671,-0.732260704041,
74,-0.000927000015508,1.65829181671,-0.732260704041,
75,-0.000926000007894,1.85929679871,-0.732260704041,
76,-0.000925000000279,1.65829181671,-0.933265686035,
77,-0.000923999992665,1.85929679871,-0.732260704041,
78,-0.00092299998505,2.0603017807,-0.732260704041,
79,-0.000921999977436,2.0603017807,-0.732260704041,
80,-0.000921000028029,1.85929679871,-0.531255722046,
81,-0.000920000020415,2.0603017807,-0.531255722046,
82,-0.0009190000128,2.0603017807,-0.732260704041,
83,-0.000918000005186,2.0603017807,-0.531255722046,
84,-0.000916999997571,2.0603017807,-0.531255722046,
85,-0.000915999989957,2.2613067627,-0.531255722046,
86,-0.000914999982342,2.2613067627,-0.330250740051,
87,-0.000913999974728,2.0603017807,-0.531255722046,
88,-0.000913000025321,2.2613067627,-0.531255722046,
89,-0.000912000017706,2.2613067627,-0.531255722046,
90,-0.000911000010092,2.2613067627,-0.330250740051,
91,-0.000910000002477,2.46231174469,-0.330250740051,
92,-0.000908999994863,2.46231174469,-0.330250740051,
93,-0.000907999987248,2.2613067627,-0.330250740051,
94,-0.000906999979634,2.46231174469,-0.330250740051,
95,-0.000905999972019,2.46231174469,-0.129245758057,
96,-0.000905000022613,2.46231174469,-0.330250740051,
97,-0.000904000014998,2.2613067627,-0.330250740051,
98,-0.000903000007384,2.46231174469,-0.531255722046,
99,-0.000901999999769,2.2613067627,-0.330250740051,
100,-0.000900999992155,2.46231174469,-0.129245758057,
101,-0.00089999998454,2.46231174469,-0.129245758057,
102,-0.000898999976926,2.66331672668,-0.129245758057,
103,-0.000898000027519,2.66331672668,-0.129245758057,
104,-0.000897000019904,2.66331672668,-0.129245758057,
105,-0.00089600001229,2.66331672668,-0.129245758057,
106,-0.000895000004675,2.66331672668,-0.129245758057,
107,-0.000893999997061,2.86432170868,0.071759223938,
108,-0.000892999989446,2.66331672668,0.071759223938,
109,-0.000891999981832,2.66331672668,0.071759223938,
110,-0.000890999974217,2.86432170868,0.071759223938,
111,-0.00089000002481,2.86432170868,0.272764205933,
112,-0.000889000017196,2.86432170868,0.071759223938,
113,-0.000888000009581,2.86432170868,0.272764205933,
114,-0.000887000001967,2.86432170868,0.071759223938,
115,-0.000885999994352,2.86432170868,0.071759223938,
116,-0.000884999986738,2.86432170868,0.272764205933,
117,-0.000883999979123,2.86432170868,0.071759223938,
118,-0.000882999971509,2.86432170868,0.272764205933,
119,-0.000882000022102,3.26633167267,0.272764205933,
120,-0.000881000014488,3.06532669067,0.272764205933,
121,-0.000880000006873,3.06532669067,0.272764205933,
122,-0.000878999999259,3.06532669067,0.272764205933,
123,-0.000877999991644,3.06532669067,0.272764205933,
124,-0.00087699998403,3.06532669067,0.473769187927,
125,-0.000875999976415,3.26633167267,0.473769187927,
126,-0.000875000027008,3.26633167267,0.473769187927,
127,-0.000874000019394,3.26633167267,0.473769187927,
128,-0.000873000011779,3.26633167267,0.674774169922,
129,-0.000872000004165,3.06532669067,0.674774169922,
130,-0.00087099999655,3.26633167267,0.473769187927,
131,-0.000869999988936,3.26633167267,0.674774169922,
132,-0.000868999981321,3.26633167267,0.473769187927,
133,-0.000867999973707,3.26633167267,0.674774169922,
134,-0.0008670000243,3.26633167267,0.674774169922,
135,-0.000866000016686,3.26633167267,0.674774169922,
136,-0.000865000009071,3.26633167267,0.674774169922,
137,-0.000864000001457,3.46733665466,0.674774169922,
138,-0.000862999993842,3.46733665466,0.875779151917,
139,-0.000861999986228,3.46733665466,0.875779151917,
140,-0.000860999978613,3.46733665466,0.674774169922,
141,-0.000859999970999,3.46733665466,0.674774169922,
142,-0.000859000021592,3.66834163666,0.875779151917,
143,-0.000858000013977,3.66834163666,0.875779151917,
144,-0.000857000006363,3.66834163666,0.875779151917,
145,-0.000855999998748,3.46733665466,0.875779151917,
146,-0.000854999991134,3.66834163666,1.07678413391,
147,-0.000853999983519,3.66834163666,1.07678413391,
148,-0.000852999975905,3.66834163666,0.875779151917,
149,-0.000852000026498,3.46733665466,0.875779151917,
150,-0.000851000018883,3.66834163666,1.07678413391,
151,-0.000850000011269,3.66834163666,1.07678413391,
152,-0.000849000003655,3.66834163666,1.07678413391,
153,-0.00084799999604,3.86934661865,1.07678413391,
154,-0.000846999988426,3.86934661865,1.07678413391,
155,-0.000845999980811,3.86934661865,1.07678413391,
156,-0.000844999973197,3.86934661865,1.07678413391,
157,-0.00084400002379,3.86934661865,1.07678413391,
158,-0.000843000016175,3.86934661865,1.07678413391,
159,-0.000842000008561,3.66834163666,1.27778911591,
160,-0.000841000000946,3.66834163666,1.27778911591,
161,-0.000839999993332,3.86934661865,1.27778911591,
162,-0.000838999985717,4.07035160065,1.27778911591,
163,-0.000837999978103,3.86934661865,1.27778911591,
164,-0.000837000028696,4.07035160065,1.07678413391,
165,-0.000836000021081,4.07035160065,1.4787940979,
166,-0.000835000013467,3.86934661865,1.4787940979,
167,-0.000834000005852,3.86934661865,1.4787940979,
168,-0.000832999998238,3.86934661865,1.4787940979,
169,-0.000831999990623,4.07035160065,1.4787940979,
170,-0.000830999983009,4.07035160065,1.4787940979,
171,-0.000829999975394,4.27135658264,1.6797990799,
172,-0.000829000025988,3.86934661865,1.4787940979,
173,-0.000828000018373,4.07035160065,1.6797990799,
174,-0.000827000010759,4.07035160065,1.6797990799,
175,-0.000826000003144,4.07035160065,1.4787940979,
176,-0.00082499999553,4.27135658264,1.6797990799,
177,-0.000823999987915,4.27135658264,1.6797990799,
178,-0.000822999980301,4.07035160065,1.6797990799,
179,-0.000821999972686,4.27135658264,1.4787940979,
180,-0.000821000023279,4.07035160065,1.6797990799,
181,-0.000820000015665,4.27135658264,1.6797990799,
182,-0.00081900000805,4.27135658264,1.6797990799,
183,-0.000818000000436,4.47236156464,1.6797990799,
184,-0.000816999992821,4.27135658264,1.88080406189,
185,-0.000815999985207,4.27135658264,1.88080406189,
186,-0.000814999977592,4.27135658264,1.88080406189,
187,-0.000814000028186,4.27135658264,1.88080406189,
188,-0.000813000020571,4.47236156464,1.88080406189,
189,-0.000812000012957,4.47236156464,1.88080406189,
190,-0.000811000005342,4.47236156464,1.88080406189,
191,-0.000809999997728,4.27135658264,2.08180904388,
192,-0.000808999990113,4.27135658264,2.08180904388,
193,-0.000807999982499,4.47236156464,2.08180904388,
194,-0.000806999974884,4.47236156464,2.08180904388,
195,-0.000806000025477,4.47236156464,2.08180904388,
196,-0.000805000017863,4.47236156464,2.08180904388,
197,-0.000804000010248,4.47236156464,2.08180904388,
198,-0.000803000002634,4.47236156464,2.08180904388,
199,-0.000801999995019,4.47236156464,2.08180904388,
200,-0.000800999987405,4.47236156464,2.28281450272,
201,-0.00079999997979,4.47236156464,2.08180904388,
202,-0.000798999972176,4.47236156464,2.28281450272,
203,-0.000798000022769,4.47236156464,2.28281450272,
204,-0.000797000015154,4.47236156464,2.28281450272,
205,-0.00079600000754,4.47236156464,2.28281450272,
206,-0.000794999999925,4.47236156464,2.08180904388,
207,-0.000793999992311,4.47236156464,2.28281450272,
208,-0.000792999984697,4.67336654663,2.48381948471,
209,-0.000791999977082,4.67336654663,2.28281450272,
210,-0.000791000027675,4.67336654663,2.28281450272,
211,-0.000790000020061,4.67336654663,2.28281450272,
212,-0.000789000012446,4.67336654663,2.28281450272,
213,-0.000788000004832,4.67336654663,2.48381948471,
214,-0.000786999997217,4.67336654663,2.28281450272,
215,-0.000785999989603,4.67336654663,2.28281450272,
216,-0.000784999981988,4.67336654663,2.28281450272,
217,-0.000783999974374,4.67336654663,2.48381948471,
218,-0.000783000024967,4.67336654663,2.68482446671,
219,-0.000782000017352,4.67336654663,2.48381948471,
220,-0.000781000009738,4.67336654663,2.48381948471,
221,-0.000780000002123,4.87437152863,2.68482446671,
222,-0.000778999994509,4.67336654663,2.48381948471,
223,-0.000777999986894,4.67336654663,2.68482446671,
224,-0.00077699997928,4.87437152863,2.68482446671,
225,-0.000775999971665,4.67336654663,2.48381948471,
226,-0.000775000022259,4.67336654663,2.8858294487,
227,-0.000774000014644,4.67336654663,2.68482446671,
228,-0.00077300000703,4.67336654663,2.68482446671,
229,-0.000771999999415,4.87437152863,2.68482446671,
230,-0.000770999991801,4.67336654663,2.68482446671,
231,-0.000769999984186,4.67336654663,2.68482446671,
232,-0.000768999976572,4.87437152863,2.68482446671,
233,-0.000768000027165,4.87437152863,2.8858294487,
234,-0.00076700001955,4.67336654663,2.8858294487,
235,-0.000766000011936,4.87437152863,2.8858294487,
236,-0.000765000004321,4.87437152863,2.68482446671,
237,-0.000763999996707,4.67336654663,2.8858294487,
238,-0.000762999989092,4.87437152863,2.8858294487,
239,-0.000761999981478,4.67336654663,2.8858294487,
240,-0.000760999973863,4.67336654663,2.8858294487,
241,-0.000760000024457,4.87437152863,2.8858294487,
242,-0.000759000016842,4.87437152863,2.8858294487,
243,-0.000758000009228,4.87437152863,2.8858294487,
244,-0.000757000001613,4.67336654663,3.08683443069,
245,-0.000755999993999,4.87437152863,2.8858294487,
246,-0.000754999986384,4.67336654663,2.8858294487,
247,-0.00075399997877,4.87437152863,3.08683443069,
248,-0.000752999971155,4.87437152863,2.8858294487,
249,-0.000752000021748,4.87437152863,3.08683443069,
250,-0.000751000014134,4.87437152863,3.08683443069,
251,-0.000750000006519,4.67336654663,3.08683443069,
252,-0.000748999998905,4.67336654663,3.08683443069,
253,-0.00074799999129,4.67336654663,3.08683443069,
254,-0.000746999983676,4.67336654663,3.08683443069,
255,-0.000745999976061,4.87437152863,3.08683443069,
256,-0.000745000026654,4.87437152863,3.08683443069,
257,-0.00074400001904,4.87437152863,3.08683443069,
258,-0.000743000011425,4.87437152863,3.28783941269,
259,-0.000742000003811,4.87437152863,3.08683443069,
260,-0.000740999996196,4.67336654663,3.28783941269,
261,-0.000739999988582,4.87437152863,3.08683443069,
262,-0.000738999980967,4.87437152863,3.28783941269,
263,-0.000737999973353,4.87437152863,3.28783941269,
264,-0.000737000023946,4.87437152863,3.48884439468,
265,-0.000736000016332,4.67336654663,3.28783941269,
266,-0.000735000008717,4.87437152863,3.48884439468,
267,-0.000734000001103,4.67336654663,3.28783941269,
268,-0.000732999993488,4.87437152863,3.28783941269,
269,-0.000731999985874,4.67336654663,3.28783941269,
270,-0.000730999978259,4.87437152863,3.48884439468,
271,-0.000730000028852,4.87437152863,3.28783941269,
272,-0.000729000021238,4.87437152863,3.48884439468,
273,-0.000728000013623,4.87437152863,3.48884439468,
274,-0.000727000006009,4.87437152863,3.48884439468,
275,-0.000725999998394,4.87437152863,3.48884439468,
276,-0.00072499999078,4.87437152863,3.48884439468,
277,-0.000723999983165,4.67336654663,3.48884439468,
278,-0.000722999975551,4.87437152863,3.48884439468,
279,-0.000722000026144,4.87437152863,3.48884439468,
280,-0.00072100001853,4.87437152863,3.48884439468,
281,-0.000720000010915,4.67336654663,3.68984937668,
282,-0.000719000003301,4.87437152863,3.48884439468,
283,-0.000717999995686,4.67336654663,3.68984937668,
284,-0.000716999988072,4.87437152863,3.48884439468,
285,-0.000715999980457,4.67336654663,3.68984937668,
286,-0.000714999972843,4.87437152863,3.48884439468,
287,-0.000714000023436,4.87437152863,3.68984937668,
288,-0.000713000015821,4.67336654663,3.68984937668,
289,-0.000712000008207,4.67336654663,3.68984937668,
290,-0.000711000000592,4.67336654663,3.68984937668,
291,-0.000709999992978,4.87437152863,3.68984937668,
292,-0.000708999985363,4.87437152863,3.68984937668,
293,-0.000707999977749,4.67336654663,3.68984937668,
294,-0.000707000028342,4.67336654663,3.68984937668,
295,-0.000706000020728,4.67336654663,3.48884439468,
296,-0.000705000013113,4.67336654663,3.68984937668,
297,-0.000704000005499,4.67336654663,3.89085435867,
298,-0.000702999997884,4.67336654663,3.68984937668,
299,-0.00070199999027,4.47236156464,3.68984937668,
300,-0.000700999982655,4.67336654663,3.68984937668,
301,-0.000699999975041,4.67336654663,3.68984937668,
302,-0.000699000025634,4.67336654663,3.89085435867,
303,-0.000698000018019,4.67336654663,3.68984937668,
304,-0.000697000010405,4.67336654663,3.89085435867,
305,-0.00069600000279,4.47236156464,3.68984937668,
306,-0.000694999995176,4.47236156464,3.68984937668,
307,-0.000693999987561,4.47236156464,3.89085435867,
308,-0.000692999979947,4.47236156464,3.68984937668,
309,-0.000691999972332,4.47236156464,3.68984937668,
310,-0.000691000022925,4.47236156464,3.89085435867,
311,-0.000690000015311,4.47236156464,3.89085435867,
312,-0.000689000007696,4.47236156464,3.89085435867,
313,-0.000688000000082,4.67336654663,3.89085435867,
314,-0.000686999992467,4.67336654663,3.89085435867,
315,-0.000685999984853,4.47236156464,3.89085435867,
316,-0.000684999977238,4.47236156464,4.09185934067,
317,-0.000684000027832,4.67336654663,3.89085435867,
318,-0.000683000020217,4.47236156464,3.89085435867,
319,-0.000682000012603,4.47236156464,4.09185934067,
320,-0.000681000004988,4.47236156464,3.89085435867,
321,-0.000679999997374,4.47236156464,3.89085435867,
322,-0.000678999989759,4.27135658264,3.89085435867,
323,-0.000677999982145,4.47236156464,3.89085435867,
324,-0.00067699997453,4.47236156464,4.09185934067,
325,-0.000676000025123,4.47236156464,3.89085435867,
326,-0.000675000017509,4.27135658264,4.09185934067,
327,-0.000674000009894,4.47236156464,3.89085435867,
328,-0.00067300000228,4.47236156464,3.89085435867,
329,-0.000671999994665,4.47236156464,3.89085435867,
330,-0.000670999987051,4.27135658264,4.09185934067,
331,-0.000669999979436,4.27135658264,4.09185934067,
332,-0.000668999971822,4.27135658264,3.89085435867,
333,-0.000668000022415,4.27135658264,3.68984937668,
334,-0.000667000014801,4.27135658264,4.09185934067,
335,-0.000666000007186,4.47236156464,3.89085435867,
336,-0.000664999999572,4.27135658264,4.09185934067,
337,-0.000663999991957,4.27135658264,3.89085435867,
338,-0.000662999984343,4.27135658264,3.89085435867,
339,-0.000661999976728,4.27135658264,4.09185934067,
340,-0.000661000027321,4.27135658264,4.09185934067,
341,-0.000660000019707,4.07035160065,4.09185934067,
342,-0.000659000012092,4.07035160065,3.89085435867,
343,-0.000658000004478,4.27135658264,3.89085435867,
344,-0.000656999996863,4.07035160065,4.09185934067,
345,-0.000655999989249,4.07035160065,3.89085435867,
346,-0.000654999981634,4.07035160065,3.89085435867,
347,-0.00065399997402,4.27135658264,3.89085435867,
348,-0.000653000024613,4.27135658264,4.09185934067,
