time;V(/vin);V(/vout);
0.100049;1.82198;-1.88844;
0.100049;1.83275;-1.88101;
0.10005;1.84351;-1.87358;
0.10005;1.85427;-1.86614;
0.10005;1.86503;-1.8587;
0.100051;1.87577;-1.85125;
0.100051;1.88651;-1.84379;
0.100051;1.89724;-1.83633;
0.100052;1.90797;-1.82886;
0.100052;1.91869;-1.82138;
0.100052;1.9294;-1.8139;
0.100052;1.94011;-1.80641;
0.100053;1.95081;-1.79891;
0.100053;1.9615;-1.79141;
0.100053;1.97218;-1.7839;
0.100054;1.98286;-1.77638;
0.100054;1.99353;-1.76886;
0.100054;2.0042;-1.76133;
0.100055;2.01485;-1.7538;
0.100055;2.0255;-1.74626;
0.100055;2.03614;-1.73871;
0.100055;2.04678;-1.73116;
0.100056;2.05741;-1.7236;
0.100056;2.06803;-1.71604;
0.100056;2.07864;-1.70847;
0.100057;2.08925;-1.70089;
0.100057;2.09984;-1.6933;
0.100057;2.11043;-1.68572;
0.100058;2.12102;-1.67812;
0.100058;2.13159;-1.67052;
0.100058;2.14216;-1.66291;
0.100058;2.15272;-1.6553;
0.100059;2.16328;-1.64768;
0.100059;2.17382;-1.64005;
0.100059;2.18436;-1.63242;
0.10006;2.19489;-1.62479;
0.10006;2.20541;-1.61715;
0.10006;2.21592;-1.6095;
0.100061;2.22643;-1.60184;
0.100061;2.23693;-1.59418;
0.100061;2.24742;-1.58652;
0.100061;2.2579;-1.57885;
0.100062;2.26838;-1.57117;
0.100062;2.27884;-1.56349;
0.100062;2.2893;-1.5558;
0.100063;2.29975;-1.54811;
0.100063;2.31019;-1.54041;
0.100063;2.32063;-1.53271;
0.100064;2.33105;-1.525;
0.100064;2.34147;-1.51728;
0.100064;2.35188;-1.50956;
0.100064;2.36228;-1.50184;
0.100065;2.37267;-1.49411;
0.100065;2.38305;-1.48637;
0.100065;2.39343;-1.47863;
0.100066;2.40379;-1.47088;
0.100066;2.41415;-1.46313;
0.100066;2.4245;-1.45537;
0.100067;2.43484;-1.44761;
0.100067;2.44518;-1.43984;
0.100067;2.4555;-1.43207;
0.100067;2.46581;-1.42429;
0.100068;2.47612;-1.41651;
0.100068;2.48642;-1.40872;
0.100068;2.49671;-1.40093;
0.100069;2.50699;-1.39313;
0.100069;2.51726;-1.38533;
0.100069;2.52752;-1.37752;
0.10007;2.53777;-1.36971;
0.10007;2.54801;-1.36189;
0.10007;2.55825;-1.35407;
0.10007;2.56848;-1.34624;
0.100071;2.57869;-1.33841;
0.100071;2.5889;-1.33057;
0.100071;2.5991;-1.32273;
0.100072;2.60929;-1.31489;
0.100072;2.61947;-1.30704;
0.100072;2.62964;-1.29918;
0.100073;2.6398;-1.29132;
0.100073;2.64995;-1.28346;
0.100073;2.66009;-1.27559;
0.100073;2.67022;-1.26771;
0.100074;2.68035;-1.25984;
0.100074;2.69046;-1.25195;
0.100074;2.70056;-1.24407;
0.100075;2.71066;-1.23617;
0.100075;2.72074;-1.22828;
0.100075;2.73082;-1.22038;
0.100076;2.74089;-1.21247;
0.100076;2.75094;-1.20456;
0.100076;2.76099;-1.19665;
0.100076;2.77102;-1.18873;
0.100077;2.78105;-1.18081;
0.100077;2.79107;-1.17289;
0.100077;2.80107;-1.16496;
0.100078;2.81107;-1.15702;
0.100078;2.82106;-1.14908;
0.100078;2.83103;-1.14114;
0.100079;2.841;-1.1332;
0.100079;2.85096;-1.12525;
0.100079;2.8609;-1.11729;
0.100079;2.87084;-1.10933;
0.10008;2.88076;-1.10137;
0.10008;2.89068;-1.0934;
0.10008;2.90059;-1.08543;
0.100081;2.91048;-1.07746;
0.100081;2.92037;-1.06948;
0.100081;2.93024;-1.0615;
0.100082;2.9401;-1.05352;
0.100082;2.94996;-1.04553;
0.100082;2.9598;-1.03753;
0.100082;2.96963;-1.02954;
0.100083;2.97946;-1.02154;
0.100083;2.98927;-1.01353;
0.100083;2.99907;-1.00553;
0.100084;3.00886;-0.997515;
0.100084;3.01864;-0.9895;
0.100084;3.02841;-0.981482;
0.100085;3.03816;-0.973461;
0.100085;3.04791;-0.965436;
0.100085;3.05765;-0.957407;
0.100085;3.06737;-0.949376;
0.100086;3.07709;-0.94134;
0.100086;3.08679;-0.933302;
0.100086;3.09648;-0.92526;
0.100087;3.10617;-0.917215;
0.100087;3.11584;-0.909166;
0.100087;3.1255;-0.901115;
0.100088;3.13515;-0.89306;
0.100088;3.14478;-0.885002;
0.100088;3.15441;-0.876941;
0.100088;3.16402;-0.868877;
0.100089;3.17363;-0.860809;
0.100089;3.18322;-0.852739;
0.100089;3.1928;-0.844666;
0.10009;3.20237;-0.836589;
0.10009;3.21193;-0.82851;
0.10009;3.22148;-0.820427;
0.100091;3.23101;-0.812342;
0.100091;3.24054;-0.804254;
0.100091;3.25005;-0.796163;
0.100091;3.25955;-0.788069;
0.100092;3.26904;-0.779972;
0.100092;3.27852;-0.771873;
0.100092;3.28798;-0.763771;
0.100093;3.29744;-0.755666;
0.100093;3.30688;-0.747559;
0.100093;3.31631;-0.739448;
0.100094;3.32573;-0.731336;
0.100094;3.33514;-0.72322;
0.100094;3.34453;-0.715102;
0.100094;3.35392;-0.706982;
0.100095;3.36329;-0.698859;
0.100095;3.37265;-0.690733;
0.100095;3.382;-0.682605;
0.100096;3.39133;-0.674475;
