time;V(/vin);V(/vout);
0.1;0.00450795;-2.24915;
0.1;0.0139327;-2.24239;
0.100001;0.0233574;-2.23562;
0.100001;0.0327821;-2.22883;
0.100001;0.0422066;-2.22205;
0.100002;0.0516309;-2.21525;
0.100002;0.0610551;-2.20844;
0.100002;0.0704791;-2.20163;
0.100003;0.0799028;-2.19481;
0.100003;0.0893262;-2.18798;
0.100003;0.0987493;-2.18115;
0.100003;0.108172;-2.1743;
0.100004;0.117594;-2.16745;
0.100004;0.127016;-2.16059;
0.100004;0.136438;-2.15373;
0.100005;0.145859;-2.14685;
0.100005;0.155279;-2.13997;
0.100005;0.164699;-2.13308;
0.100006;0.174119;-2.12618;
0.100006;0.183537;-2.11928;
0.100006;0.192956;-2.11237;
0.100006;0.202373;-2.10545;
0.100007;0.21179;-2.09852;
0.100007;0.221206;-2.09159;
0.100007;0.230621;-2.08464;
0.100008;0.240035;-2.07769;
0.100008;0.249449;-2.07074;
0.100008;0.258861;-2.06377;
0.100009;0.268273;-2.0568;
0.100009;0.277684;-2.04982;
0.100009;0.287093;-2.04284;
0.100009;0.296502;-2.03584;
0.10001;0.30591;-2.02884;
0.10001;0.315316;-2.02184;
0.10001;0.324722;-2.01482;
0.100011;0.334126;-2.0078;
0.100011;0.343529;-2.00077;
0.100011;0.352931;-1.99373;
0.100012;0.362332;-1.98669;
0.100012;0.371731;-1.97964;
0.100012;0.381129;-1.97258;
0.100012;0.390526;-1.96552;
0.100013;0.399921;-1.95844;
0.100013;0.409315;-1.95137;
0.100013;0.418707;-1.94428;
0.100014;0.428098;-1.93719;
0.100014;0.437488;-1.93009;
0.100014;0.446875;-1.92298;
0.100015;0.456262;-1.91587;
0.100015;0.465646;-1.90875;
0.100015;0.475029;-1.90162;
0.100015;0.484411;-1.89449;
0.100016;0.49379;-1.88735;
0.100016;0.503168;-1.8802;
0.100016;0.512544;-1.87305;
0.100017;0.521918;-1.86589;
0.100017;0.531291;-1.85872;
0.100017;0.540661;-1.85155;
0.100018;0.55003;-1.84437;
0.100018;0.559396;-1.83718;
0.100018;0.568761;-1.82999;
0.100018;0.578123;-1.82279;
0.100019;0.587484;-1.81558;
0.100019;0.596842;-1.80837;
0.100019;0.606199;-1.80115;
0.10002;0.615553;-1.79393;
0.10002;0.624905;-1.7867;
0.10002;0.634255;-1.77946;
0.100021;0.643602;-1.77221;
0.100021;0.652947;-1.76496;
0.100021;0.66229;-1.75771;
0.100021;0.671631;-1.75044;
0.100022;0.680969;-1.74317;
0.100022;0.690305;-1.7359;
0.100022;0.699638;-1.72862;
0.100023;0.708969;-1.72133;
0.100023;0.718297;-1.71403;
0.100023;0.727623;-1.70673;
0.100024;0.736946;-1.69943;
0.100024;0.746267;-1.69212;
0.100024;0.755584;-1.6848;
0.100024;0.7649;-1.67747;
0.100025;0.774212;-1.67014;
0.100025;0.783522;-1.66281;
0.100025;0.792829;-1.65547;
0.100026;0.802133;-1.64812;
0.100026;0.811434;-1.64076;
0.100026;0.820733;-1.63341;
0.100027;0.830028;-1.62604;
0.100027;0.839321;-1.61867;
0.100027;0.84861;-1.61129;
0.100027;0.857897;-1.60391;
0.100028;0.86718;-1.59652;
0.100028;0.876461;-1.58913;
0.100028;0.885738;-1.58173;
0.100029;0.895012;-1.57432;
0.100029;0.904283;-1.56691;
0.100029;0.913551;-1.5595;
0.10003;0.922815;-1.55207;
0.10003;0.932076;-1.54465;
0.10003;0.941334;-1.53721;
0.10003;0.950589;-1.52977;
0.100031;0.95984;-1.52233;
0.100031;0.969088;-1.51488;
0.100031;0.978332;-1.50743;
0.100032;0.987573;-1.49997;
0.100032;0.99681;-1.4925;
0.100032;1.00604;-1.48503;
0.100033;1.01527;-1.47756;
0.100033;1.0245;-1.47007;
0.100033;1.03372;-1.46259;
0.100033;1.04294;-1.4551;
0.100034;1.05216;-1.4476;
0.100034;1.06137;-1.4401;
0.100034;1.07058;-1.43259;
0.100035;1.07978;-1.42508;
0.100035;1.08898;-1.41756;
0.100035;1.09818;-1.41004;
0.100036;1.10737;-1.40251;
0.100036;1.11656;-1.39498;
0.100036;1.12575;-1.38744;
0.100036;1.13493;-1.3799;
0.100037;1.1441;-1.37235;
0.100037;1.15328;-1.3648;
0.100037;1.16245;-1.35725;
0.100038;1.17161;-1.34968;
0.100038;1.18077;-1.34212;
0.100038;1.18993;-1.33455;
0.100039;1.19908;-1.32697;
0.100039;1.20823;-1.31939;
0.100039;1.21737;-1.31181;
0.100039;1.22651;-1.30422;
0.10004;1.23564;-1.29662;
0.10004;1.24477;-1.28902;
0.10004;1.2539;-1.28142;
0.100041;1.26302;-1.27381;
0.100041;1.27214;-1.2662;
0.100041;1.28125;-1.25858;
0.100042;1.29036;-1.25096;
0.100042;1.29946;-1.24333;
0.100042;1.30856;-1.2357;
0.100042;1.31765;-1.22807;
0.100043;1.32674;-1.22043;
0.100043;1.33583;-1.21278;
0.100043;1.34491;-1.20514;
0.100044;1.35398;-1.19748;
0.100044;1.36305;-1.18983;
0.100044;1.37212;-1.18217;
0.100045;1.38118;-1.1745;
0.100045;1.39023;-1.16683;
0.100045;1.39928;-1.15916;
0.100045;1.40833;-1.15148;
0.100046;1.41737;-1.1438;
0.100046;1.42641;-1.13611;
0.100046;1.43544;-1.12843;
0.100047;1.44446;-1.12073;
0.100047;1.45348;-1.11303;
0.100047;1.4625;-1.10533;
0.100048;1.47151;-1.09763;
0.100048;1.48051;-1.08992;
0.100048;1.48951;-1.0822;
0.100048;1.49851;-1.07449;
0.100049;1.50749;-1.06677;
0.100049;1.51648;-1.05904;
0.100049;1.52546;-1.05131;
0.10005;1.53443;-1.04358;
0.10005;1.5434;-1.03585;
0.10005;1.55236;-1.02811;
0.100051;1.56131;-1.02036;
0.100051;1.57027;-1.01262;
0.100051;1.57921;-1.00487;
0.100051;1.58815;-0.997111;
0.100052;1.59708;-0.989354;
0.100052;1.60601;-0.981593;
0.100052;1.61493;-0.973828;
0.100053;1.62385;-0.96606;
0.100053;1.63276;-0.958289;
0.100053;1.64167;-0.950514;
0.100054;1.65057;-0.942736;
0.100054;1.65946;-0.934954;
0.100054;1.66835;-0.927169;
0.100054;1.67723;-0.919381;
0.100055;1.68611;-0.91159;
0.100055;1.69498;-0.903795;
0.100055;1.70384;-0.895997;
0.100056;1.7127;-0.888196;
0.100056;1.72155;-0.880392;
0.100056;1.73039;-0.872584;
0.100057;1.73923;-0.864774;
0.100057;1.74807;-0.85696;
0.100057;1.75689;-0.849144;
0.100057;1.76571;-0.841324;
0.100058;1.77453;-0.833501;
0.100058;1.78334;-0.825676;
0.100058;1.79214;-0.817847;
0.100059;1.80093;-0.810016;
0.100059;1.80972;-0.802182;
0.100059;1.8185;-0.794345;
0.10006;1.82728;-0.786505;
0.10006;1.83605;-0.778662;
0.10006;1.84481;-0.770816;
0.10006;1.85357;-0.762968;
0.100061;1.86232;-0.755117;
0.100061;1.87106;-0.747263;
0.100061;1.8798;-0.739407;
0.100062;1.88853;-0.731548;
0.100062;1.89725;-0.723687;
0.100062;1.90597;-0.715823;
0.100063;1.91468;-0.707956;
0.100063;1.92338;-0.700087;
0.100063;1.93208;-0.692215;
0.100063;1.94077;-0.684341;
0.100064;1.94945;-0.676465;
0.100064;1.95813;-0.668586;
0.100064;1.96679;-0.660704;
0.100065;1.97546;-0.652821;
0.100065;1.98411;-0.644935;
0.100065;1.99276;-0.637046;
0.100066;2.0014;-0.629156;
0.100066;2.01003;-0.621263;
0.100066;2.01866;-0.613368;
0.100066;2.02728;-0.605471;
0.100067;2.03589;-0.597572;
0.100067;2.04449;-0.58967;
0.100067;2.05309;-0.581767;
0.100068;2.06168;-0.573861;
0.100068;2.07026;-0.565953;
0.100068;2.07884;-0.558044;
0.100069;2.08741;-0.550132;
0.100069;2.09597;-0.542219;
0.100069;2.10452;-0.534303;
0.100069;2.11306;-0.526386;
0.10007;2.1216;-0.518466;
0.10007;2.13013;-0.510545;
0.10007;2.13866;-0.502622;
0.100071;2.14717;-0.494698;
0.100071;2.15568;-0.486771;
0.100071;2.16418;-0.478843;
0.100072;2.17267;-0.470913;
0.100072;2.18116;-0.462981;
0.100072;2.18963;-0.455048;
0.100072;2.1981;-0.447113;
0.100073;2.20656;-0.439177;
0.100073;2.21502;-0.431239;
0.100073;2.22346;-0.423299;
0.100074;2.2319;-0.415358;
0.100074;2.24033;-0.407416;
0.100074;2.24875;-0.399472;
0.100075;2.25716;-0.391527;
0.100075;2.26557;-0.38358;
0.100075;2.27397;-0.375632;
0.100075;2.28236;-0.367682;
0.100076;2.29074;-0.359731;
0.100076;2.29911;-0.351779;
0.100076;2.30748;-0.343826;
0.100077;2.31583;-0.335872;
0.100077;2.32418;-0.327916;
0.100077;2.33252;-0.319959;
0.100078;2.34086;-0.312001;
0.100078;2.34918;-0.304042;
0.100078;2.3575;-0.296082;
0.100078;2.3658;-0.28812;
0.100079;2.3741;-0.280158;
0.100079;2.38239;-0.272195;
0.100079;2.39067;-0.264231;
0.10008;2.39895;-0.256265;
0.10008;2.40721;-0.248299;
0.10008;2.41547;-0.240332;
0.100081;2.42372;-0.232365;
0.100081;2.43196;-0.224396;
0.100081;2.44019;-0.216426;
0.100081;2.44841;-0.208456;
0.100082;2.45662;-0.200485;
0.100082;2.46483;-0.192514;
0.100082;2.47302;-0.184541;
0.100083;2.48121;-0.176568;
0.100083;2.48939;-0.168595;
0.100083;2.49756;-0.16062;
0.100084;2.50572;-0.152646;
0.100084;2.51387;-0.14467;
0.100084;2.52201;-0.136694;
0.100084;2.53014;-0.128718;
0.100085;2.53827;-0.120741;
0.100085;2.54638;-0.112764;
0.100085;2.55449;-0.104786;
0.100086;2.56259;-0.0968083;
0.100086;2.57068;-0.08883;
0.100086;2.57875;-0.0808513;
0.100087;2.58682;-0.0728724;
0.100087;2.59489;-0.0648932;
0.100087;2.60294;-0.0569137;
0.100087;2.61098;-0.0489341;
0.100088;2.61901;-0.0409543;
0.100088;2.62704;-0.0329743;
0.100088;2.63505;-0.0249942;
0.100089;2.64306;-0.017014;
0.100089;2.65105;-0.0090338;
0.100089;2.65904;-0.00105354;
0.10009;2.66701;0.00692673;
0.10009;2.67498;0.014907;
0.10009;2.68294;0.0228872;
0.10009;2.69089;0.0308673;
0.100091;2.69883;0.0388473;
0.100091;2.70676;0.0468271;
0.100091;2.71467;0.0548068;
0.100092;2.72258;0.0627863;
0.100092;2.73048;0.0707656;
0.100092;2.73838;0.0787446;
0.100093;2.74626;0.0867234;
0.100093;2.75413;0.0947018;
0.100093;2.76199;0.10268;
0.100093;2.76984;0.110658;
0.100094;2.77768;0.118635;
0.100094;2.78551;0.126612;
0.100094;2.79333;0.134588;
0.100095;2.80115;0.142564;
0.100095;2.80895;0.15054;
0.100095;2.81674;0.158515;
0.100096;2.82452;0.166489;
0.100096;2.83229;0.174463;
0.100096;2.84006;0.182436;
0.100096;2.84781;0.190409;
0.100097;2.85555;0.198381;
0.100097;2.86328;0.206352;
0.100097;2.871;0.214322;
0.100098;2.87871;0.222292;
0.100098;2.88641;0.230261;
0.100098;2.8941;0.238229;
0.100099;2.90179;0.246196;
0.100099;2.90946;0.254162;
0.100099;2.91711;0.262128;
0.100099;2.92476;0.270092;
0.1001;2.9324;0.278056;
0.1001;2.94003;0.286018;
0.1001;2.94765;0.29398;
0.100101;2.95526;0.30194;
0.100101;2.96285;0.3099;
0.100101;2.97044;0.317858;
0.100102;2.97802;0.325815;
0.100102;2.98558;0.333771;
0.100102;2.99314;0.341726;
0.100102;3.00068;0.34968;
0.100103;3.00821;0.357632;
0.100103;3.01574;0.365583;
0.100103;3.02325;0.373533;
0.100104;3.03075;0.381481;
0.100104;3.03824;0.389428;
0.100104;3.04572;0.397374;
0.100105;3.05319;0.405318;
0.100105;3.06065;0.413261;
0.100105;3.0681;0.421203;
0.100105;3.07553;0.429143;
0.100106;3.08296;0.437081;
0.100106;3.09037;0.445018;
0.100106;3.09778;0.452953;
0.100107;3.10517;0.460887;
0.100107;3.11255;0.468819;
0.100107;3.11992;0.476749;
0.100108;3.12728;0.484678;
0.100108;3.13463;0.492605;
0.100108;3.14196;0.50053;
0.100108;3.14929;0.508453;
0.100109;3.15661;0.516375;
0.100109;3.16391;0.524295;
0.100109;3.1712;0.532213;
0.10011;3.17848;0.540129;
0.10011;3.18575;0.548043;
0.10011;3.19301;0.555955;
0.100111;3.20026;0.563865;
0.100111;3.20749;0.571773;
0.100111;3.21472;0.579679;
0.100111;3.22193;0.587584;
0.100112;3.22913;0.595486;
0.100112;3.23632;0.603385;
0.100112;3.2435;0.611283;
0.100113;3.25067;0.619179;
0.100113;3.25782;0.627072;
0.100113;3.26497;0.634963;
0.100114;3.2721;0.642852;
0.100114;3.27922;0.650739;
0.100114;3.28633;0.658623;
0.100114;3.29342;0.666505;
0.100115;3.30051;0.674384;
0.100115;3.30758;0.682262;
0.100115;3.31465;0.690136;
0.100116;3.3217;0.698009;
0.100116;3.32873;0.705878;
0.100116;3.33576;0.713746;
0.100117;3.34278;0.721611;
0.100117;3.34978;0.729473;
0.100117;3.35677;0.737332;
0.100117;3.36375;0.745189;
0.100118;3.37072;0.753044;
0.100118;3.37767;0.760895;
0.100118;3.38461;0.768744;
0.100119;3.39155;0.776591;
0.100119;3.39846;0.784434;
0.100119;3.40537;0.792275;
0.10012;3.41227;0.800113;
0.10012;3.41915;0.807948;
0.10012;3.42602;0.81578;
0.10012;3.43288;0.823609;
0.100121;3.43973;0.831435;
0.100121;3.44656;0.839259;
0.100121;3.45338;0.847079;
0.100122;3.46019;0.854897;
0.100122;3.46699;0.862711;
0.100122;3.47377;0.870522;
0.100123;3.48055;0.87833;
0.100123;3.48731;0.886136;
0.100123;3.49405;0.893937;
0.100123;3.50079;0.901736;
0.100124;3.50751;0.909532;
0.100124;3.51422;0.917324;
0.100124;3.52092;0.925113;
0.100125;3.52761;0.932899;
0.100125;3.53428;0.940681;
0.100125;3.54094;0.94846;
0.100126;3.54759;0.956236;
0.100126;3.55422;0.964009;
0.100126;3.56084;0.971777;
0.100126;3.56745;0.979543;
0.100127;3.57405;0.987305;
0.100127;3.58064;0.995063;
0.100127;3.58721;1.00282;
0.100128;3.59377;1.01057;
0.100128;3.60031;1.01832;
0.100128;3.60685;1.02606;
0.100129;3.61337;1.0338;
0.100129;3.61988;1.04154;
0.100129;3.62637;1.04927;
0.100129;3.63285;1.057;
0.10013;3.63932;1.06473;
0.10013;3.64578;1.07245;
0.10013;3.65222;1.08017;
0.100131;3.65865;1.08788;
0.100131;3.66507;1.09559;
0.100131;3.67147;1.1033;
0.100132;3.67787;1.111;
0.100132;3.68424;1.1187;
0.100132;3.69061;1.12639;
0.100132;3.69696;1.13408;
0.100133;3.7033;1.14177;
0.100133;3.70963;1.14945;
0.100133;3.71594;1.15713;
0.100134;3.72224;1.16481;
0.100134;3.72852;1.17248;
0.100134;3.7348;1.18014;
0.100135;3.74106;1.1878;
0.100135;3.7473;1.19546;
0.100135;3.75353;1.20312;
0.100135;3.75975;1.21077;
0.100136;3.76596;1.21841;
0.100136;3.77215;1.22605;
0.100136;3.77833;1.23369;
0.100137;3.7845;1.24132;
0.100137;3.79065;1.24895;
0.100137;3.79679;1.25657;
0.100138;3.80292;1.26419;
0.100138;3.80903;1.2718;
0.100138;3.81513;1.27941;
0.100138;3.82121;1.28702;
0.100139;3.82728;1.29462;
0.100139;3.83334;1.30221;
0.100139;3.83939;1.3098;
0.10014;3.84542;1.31739;
0.10014;3.85143;1.32497;
0.10014;3.85744;1.33255;
0.100141;3.86343;1.34012;
0.100141;3.8694;1.34769;
0.100141;3.87537;1.35525;
0.100141;3.88131;1.36281;
0.100142;3.88725;1.37036;
0.100142;3.89317;1.37791;
0.100142;3.89908;1.38545;
0.100143;3.90497;1.39299;
0.100143;3.91085;1.40052;
0.100143;3.91671;1.40805;
0.100144;3.92256;1.41558;
0.100144;3.9284;1.42309;
0.100144;3.93423;1.43061;
