Model: ,Oscilloscope EDUX1052A
Serial Number:,CN65470148
Address: ,USBInstrument1
Date: ,2026-09-09 14:23:16

Sample Number,시간 (s),1 (VOLT),2 (VOLT),
1,-0.001,-0.633768886327744,-2.50130639970303,
2,-0.000999,-0.231758832931519,-2.50130639970303,
3,-0.000998,-0.633768886327744,-2.50130639970303,
4,-0.000997,-0.432763859629631,-2.30030137300491,
5,-0.000996,-0.231758832931519,-2.30030137300491,
6,-0.000995,-0.231758832931519,-2.30030137300491,
7,-0.000994,-0.231758832931519,-2.0992963463068,
8,-0.000993,-0.231758832931519,-2.0992963463068,
9,-0.000992,-0.231758832931519,-2.0992963463068,
10,-0.000991,-0.0307538062334061,-2.0992963463068,
11,-0.00099,-0.0307538062334061,-2.30030137300491,
12,-0.000989,-0.432763859629631,-2.0992963463068,
13,-0.000988,-0.231758832931519,-2.0992963463068,
14,-0.000987,-0.0307538062334061,-2.0992963463068,
15,-0.000986,-0.231758832931519,-2.0992963463068,
16,-0.000985,-0.0307538062334061,-2.0992963463068,
17,-0.000984,-0.0307538062334061,-2.0992963463068,
18,-0.000983,-0.0307538062334061,-2.30030137300491,
19,-0.000982,0.170251220464706,-2.0992963463068,
20,-0.000981,0.170251220464706,-1.89829131960869,
21,-0.00098,-0.0307538062334061,-1.89829131960869,
22,-0.000979,0.170251220464706,-1.89829131960869,
23,-0.000978,-0.0307538062334061,-1.89829131960869,
24,-0.000977,0.170251220464706,-1.89829131960869,
25,-0.000976,0.170251220464706,-1.89829131960869,
26,-0.000975,0.170251220464706,-1.89829131960869,
27,-0.000974,0.170251220464706,-1.89829131960869,
28,-0.000973,0.371256247162819,-1.69728629291058,
29,-0.000972,0.572261273860931,-1.89829131960869,
30,-0.000971,0.371256247162819,-1.89829131960869,
31,-0.00097,0.371256247162819,-1.89829131960869,
32,-0.000969,0.572261273860931,-1.69728629291058,
33,-0.000968,0.572261273860931,-1.49628126621246,
34,-0.000967,0.572261273860931,-1.69728629291058,
