time;V(/vout);
0.012;3.99005;
0.012;3.99001;
0.0120001;3.98992;
0.0120002;3.98976;
0.0120003;3.98942;
0.0120007;3.98875;
0.0120013;3.98741;
0.0120027;3.98474;
0.0120054;3.97939;
0.0120107;3.96873;
0.0120215;3.94748;
0.0120429;3.90532;
0.0120859;3.82234;
0.0121579;3.68717;
0.0122299;3.55678;
0.0123019;3.431;
0.0123739;3.30967;
0.0124459;3.19263;
0.0125179;3.07972;
0.0125899;2.97081;
0.0126619;2.86576;
0.0127339;2.76441;
0.0128059;2.66665;
0.0128779;2.57235;
0.0129499;2.48138;
0.0130219;2.39363;
0.0130939;2.30899;
0.0131659;2.22733;
0.0132379;2.14857;
0.0133099;2.07259;
0.0133819;1.99929;
0.0134539;1.92859;
0.0135259;1.86039;
0.0135979;1.7946;
0.0136699;1.73114;
0.0137419;1.66992;
0.0138139;1.61086;
0.0138859;1.5539;
0.0139579;1.49895;
0.0140299;1.44594;
0.0141019;1.3948;
0.0141739;1.34548;
0.0142459;1.2979;
0.0143179;1.252;
0.0143899;1.20773;
0.0144619;1.16502;
0.0145339;1.12382;
0.0146059;1.08408;
0.0146779;1.04574;
0.0147499;1.00876;
0.0148219;0.973085;
0.0148939;0.938673;
0.0149659;0.905478;
0.0150379;0.873457;
0.0151099;0.842569;
0.0151819;0.812773;
0.0152539;0.78403;
0.0153259;0.756304;
0.0153979;0.729559;
0.0154699;0.703759;
0.0155419;0.678872;
0.0156139;0.654864;
0.0156859;0.631706;
0.0157579;0.609367;
0.0158299;0.587818;
0.0159019;0.56703;
0.0159739;0.546978;
0.0160459;0.527635;
0.0161179;0.508976;
0.0161899;0.490977;
0.0162619;0.473614;
0.0163339;0.456866;
0.0164059;0.440709;
0.0164779;0.425124;
0.0165499;0.41009;
0.0166219;0.395588;
0.0166939;0.381599;
0.0167659;0.368104;
0.0168379;0.355087;
0.0169099;0.34253;
0.0169819;0.330417;
0.0170539;0.318732;
0.0171259;0.30746;
0.0171979;0.296588;
