v-sweep;V(/vin);V(/vout);
2.75;2.75;2.2;
2.76;2.76;2.20977;
2.77;2.77;2.21954;
2.78;2.78;2.22931;
2.79;2.79;2.23908;
2.8;2.8;2.24886;
2.81;2.81;2.25863;
2.82;2.82;2.26841;
2.83;2.83;2.27819;
2.84;2.84;2.28796;
2.85;2.85;2.29774;
2.86;2.86;2.30752;
2.87;2.87;2.3173;
2.88;2.88;2.32709;
2.89;2.89;2.33687;
2.9;2.9;2.34665;
2.91;2.91;2.35644;
2.92;2.92;2.36622;
2.93;2.93;2.37601;
2.94;2.94;2.38579;
2.95;2.95;2.39558;
2.96;2.96;2.40537;
2.97;2.97;2.41516;
2.98;2.98;2.42495;
2.99;2.99;2.43474;
3;3;2.44453;
3.01;3.01;2.45433;
3.02;3.02;2.46412;
3.03;3.03;2.47391;
3.04;3.04;2.48371;
3.05;3.05;2.49351;
3.06;3.06;2.5033;
3.07;3.07;2.5131;
3.08;3.08;2.5229;
3.09;3.09;2.5327;
3.1;3.1;2.5425;
3.11;3.11;2.5523;
3.12;3.12;2.5621;
3.13;3.13;2.5719;
3.14;3.14;2.5817;
3.15;3.15;2.59151;
3.16;3.16;2.60131;
3.17;3.17;2.61112;
3.18;3.18;2.62092;
3.19;3.19;2.63073;
3.2;3.2;2.64054;
3.21;3.21;2.65034;
3.22;3.22;2.66015;
3.23;3.23;2.66996;
3.24;3.24;2.67977;
3.25;3.25;2.68958;
3.26;3.26;2.69939;
3.27;3.27;2.70921;
3.28;3.28;2.71902;
3.29;3.29;2.72883;
3.3;3.3;2.73865;
3.31;3.31;2.74846;
3.32;3.32;2.75828;
3.33;3.33;2.76809;
3.34;3.34;2.77791;
3.35;3.35;2.78772;
3.36;3.36;2.79754;
3.37;3.37;2.80736;
3.38;3.38;2.81718;
3.39;3.39;2.827;
3.4;3.4;2.83682;
3.41;3.41;2.84664;
3.42;3.42;2.85646;
3.43;3.43;2.86628;
3.44;3.44;2.87611;
3.45;3.45;2.88593;
3.46;3.46;2.89575;
3.47;3.47;2.90558;
3.48;3.48;2.9154;
3.49;3.49;2.92523;
3.5;3.5;2.93505;
3.51;3.51;2.94488;
3.52;3.52;2.95471;
3.53;3.53;2.96454;
3.54;3.54;2.97437;
3.55;3.55;2.98419;
3.56;3.56;2.99402;
3.57;3.57;3.00385;
3.58;3.58;3.01368;
3.59;3.59;3.02352;
3.6;3.6;3.03335;
3.61;3.61;3.04318;
3.62;3.62;3.05301;
3.63;3.63;3.06285;
3.64;3.64;3.07268;
3.65;3.65;3.08251;
3.66;3.66;3.09235;
3.67;3.67;3.10218;
3.68;3.68;3.11202;
3.69;3.69;3.12186;
3.7;3.7;3.13169;
3.71;3.71;3.14153;
3.72;3.72;3.15137;
3.73;3.73;3.16121;
3.74;3.74;3.17105;
3.75;3.75;3.18088;
3.76;3.76;3.19072;
3.77;3.77;3.20056;
3.78;3.78;3.21041;
3.79;3.79;3.22025;
3.8;3.8;3.23009;
3.81;3.81;3.23993;
3.82;3.82;3.24977;
3.83;3.83;3.25962;
3.84;3.84;3.26946;
3.85;3.85;3.2793;
3.86;3.86;3.28915;
3.87;3.87;3.29899;
3.88;3.88;3.30884;
3.89;3.89;3.31869;
3.9;3.9;3.32853;
3.91;3.91;3.33838;
3.92;3.92;3.34823;
3.93;3.93;3.35807;
3.94;3.94;3.36792;
3.95;3.95;3.37777;
3.96;3.96;3.38762;
3.97;3.97;3.39747;
3.98;3.98;3.40732;
3.99;3.99;3.41717;
4;4;3.42702;
4.01;4.01;3.43687;
4.02;4.02;3.44672;
4.03;4.03;3.45657;
4.04;4.04;3.46643;
4.05;4.05;3.47628;
4.06;4.06;3.48613;
4.07;4.07;3.49599;
4.08;4.08;3.50584;
4.09;4.09;3.51569;
4.1;4.1;3.52555;
4.11;4.11;3.5354;
4.12;4.12;3.54526;
4.13;4.13;3.55512;
4.14;4.14;3.56497;
4.15;4.15;3.57483;
4.16;4.16;3.58469;
4.17;4.17;3.59454;
4.18;4.18;3.6044;
4.19;4.19;3.61426;
4.2;4.2;3.62412;
4.21;4.21;3.63398;
4.22;4.22;3.64384;
4.23;4.23;3.6537;
4.24;4.24;3.66356;
4.25;4.25;3.67342;
4.26;4.26;3.68328;
4.27;4.27;3.69314;
4.28;4.28;3.703;
4.29;4.29;3.71286;
4.3;4.3;3.72273;
4.31;4.31;3.73259;
4.32;4.32;3.74245;
4.33;4.33;3.75232;
4.34;4.34;3.76218;
4.35;4.35;3.77204;
4.36;4.36;3.78191;
4.37;4.37;3.79177;
4.38;4.38;3.80164;
4.39;4.39;3.8115;
4.4;4.4;3.82137;
4.41;4.41;3.83124;
4.42;4.42;3.8411;
4.43;4.43;3.85097;
4.44;4.44;3.86084;
4.45;4.45;3.8707;
4.46;4.46;3.88057;
4.47;4.47;3.89044;
4.48;4.48;3.90031;
4.49;4.49;3.91018;
4.5;4.5;3.92005;
4.51;4.51;3.92992;
4.52;4.52;3.93979;
4.53;4.53;3.94966;
4.54;4.54;3.95953;
4.55;4.55;3.9694;
4.56;4.56;3.97927;
4.57;4.57;3.98914;
4.58;4.58;3.99901;
4.59;4.59;4.00888;
4.6;4.6;4.01876;
4.61;4.61;4.02863;
4.62;4.62;4.0385;
4.63;4.63;4.04838;
4.64;4.64;4.05825;
4.65;4.65;4.06812;
4.66;4.66;4.078;
4.67;4.67;4.08787;
4.68;4.68;4.09775;
4.69;4.69;4.10762;
4.7;4.7;4.1175;
4.71;4.71;4.12737;
4.72;4.72;4.13725;
4.73;4.73;4.14713;
4.74;4.74;4.157;
4.75;4.75;4.16688;
4.76;4.76;4.17676;
4.77;4.77;4.18663;
4.78;4.78;4.19651;
4.79;4.79;4.20639;
4.8;4.8;4.21627;
4.81;4.81;4.22615;
4.82;4.82;4.23602;
4.83;4.83;4.2459;
4.84;4.84;4.25578;
4.85;4.85;4.26566;
4.86;4.86;4.27554;
4.87;4.87;4.28542;
4.88;4.88;4.2953;
4.89;4.89;4.30518;
4.9;4.9;4.31507;
4.91;4.91;4.32495;
4.92;4.92;4.33483;
4.93;4.93;4.34471;
4.94;4.94;4.35459;
4.95;4.95;4.36447;
4.96;4.96;4.37436;
4.97;4.97;4.38424;
4.98;4.98;4.39412;
4.99;4.99;4.40401;
5;5;4.41389;
