v-sweep;V(/vin);V(/vout);
-3.41;-3.41;-5.31688e-05;
-3.4;-3.4;-5.31687e-05;
-3.39;-3.39;-5.31687e-05;
-3.38;-3.38;-5.31687e-05;
-3.37;-3.37;-5.31687e-05;
-3.36;-3.36;-5.31687e-05;
-3.35;-3.35;-5.31687e-05;
-3.34;-3.34;-5.31687e-05;
-3.33;-3.33;-5.31687e-05;
-3.32;-3.32;-5.31686e-05;
-3.31;-3.31;-5.31686e-05;
-3.3;-3.3;-5.31686e-05;
-3.29;-3.29;-5.31686e-05;
-3.28;-3.28;-5.31686e-05;
-3.27;-3.27;-5.31686e-05;
-3.26;-3.26;-5.31686e-05;
-3.25;-3.25;-5.31686e-05;
-3.24;-3.24;-5.31685e-05;
-3.23;-3.23;-5.31685e-05;
-3.22;-3.22;-5.31685e-05;
-3.21;-3.21;-5.31685e-05;
-3.2;-3.2;-5.31685e-05;
-3.19;-3.19;-5.31685e-05;
-3.18;-3.18;-5.31685e-05;
-3.17;-3.17;-5.31685e-05;
-3.16;-3.16;-5.31684e-05;
-3.15;-3.15;-5.31684e-05;
-3.14;-3.14;-5.31684e-05;
-3.13;-3.13;-5.31684e-05;
-3.12;-3.12;-5.31684e-05;
-3.11;-3.11;-5.31684e-05;
-3.1;-3.1;-5.31684e-05;
-3.09;-3.09;-5.31684e-05;
-3.08;-3.08;-5.31683e-05;
-3.07;-3.07;-5.31683e-05;
-3.06;-3.06;-5.31683e-05;
-3.05;-3.05;-5.31683e-05;
-3.04;-3.04;-5.31683e-05;
-3.03;-3.03;-5.31683e-05;
-3.02;-3.02;-5.31683e-05;
-3.01;-3.01;-5.31682e-05;
-3;-3;-5.31682e-05;
-2.99;-2.99;-5.31682e-05;
-2.98;-2.98;-5.31682e-05;
-2.97;-2.97;-5.31682e-05;
-2.96;-2.96;-5.31682e-05;
-2.95;-2.95;-5.31682e-05;
-2.94;-2.94;-5.31682e-05;
-2.93;-2.93;-5.31681e-05;
-2.92;-2.92;-5.31681e-05;
-2.91;-2.91;-5.31681e-05;
-2.9;-2.9;-5.31681e-05;
-2.89;-2.89;-5.31681e-05;
-2.88;-2.88;-5.31681e-05;
-2.87;-2.87;-5.31681e-05;
-2.86;-2.86;-5.3168e-05;
-2.85;-2.85;-5.3168e-05;
-2.84;-2.84;-5.3168e-05;
-2.83;-2.83;-5.3168e-05;
-2.82;-2.82;-5.3168e-05;
-2.81;-2.81;-5.3168e-05;
-2.8;-2.8;-5.31679e-05;
-2.79;-2.79;-5.31679e-05;
-2.78;-2.78;-5.31679e-05;
-2.77;-2.77;-5.31679e-05;
-2.76;-2.76;-5.31679e-05;
-2.75;-2.75;-5.31679e-05;
