time;V(/vd);V(/vrsh);
0.100498;0.872256;0.220862;
0.100501;0.874212;0.222459;
0.100504;0.876166;0.224055;
0.100507;0.878116;0.225651;
0.10051;0.880064;0.227246;
0.100513;0.882009;0.228839;
0.100516;0.88395;0.230432;
0.100519;0.885889;0.232024;
0.100522;0.887825;0.233616;
0.100525;0.889758;0.235206;
0.100528;0.891689;0.236796;
0.100531;0.893616;0.238384;
0.100534;0.895541;0.239972;
0.100537;0.897463;0.241559;
0.10054;0.899382;0.243145;
0.100543;0.901299;0.24473;
0.100546;0.903212;0.246314;
0.100549;0.905123;0.247898;
0.100552;0.907031;0.24948;
0.100555;0.908937;0.251061;
0.100558;0.91084;0.252642;
0.100561;0.91274;0.254221;
0.100564;0.914638;0.2558;
0.100567;0.916533;0.257377;
0.10057;0.918425;0.258954;
0.100573;0.920315;0.260529;
0.100576;0.922202;0.262104;
0.100579;0.924086;0.263677;
0.100582;0.925968;0.26525;
0.100585;0.927848;0.266822;
0.100588;0.929724;0.268392;
0.100591;0.931599;0.269962;
0.100594;0.93347;0.27153;
0.100597;0.935339;0.273098;
0.1006;0.937206;0.274664;
0.100603;0.93907;0.276229;
0.100606;0.940932;0.277794;
0.100609;0.942791;0.279357;
0.100612;0.944647;0.280919;
0.100615;0.946501;0.28248;
0.100618;0.948353;0.28404;
0.100621;0.950202;0.285599;
0.100624;0.952049;0.287156;
0.100627;0.953893;0.288713;
0.10063;0.955735;0.290269;
0.100633;0.957574;0.291823;
0.100636;0.959411;0.293376;
0.100639;0.961245;0.294928;
0.100642;0.963077;0.296479;
0.100645;0.964907;0.298029;
0.100648;0.966734;0.299578;
0.100651;0.968559;0.301125;
0.100654;0.970381;0.302671;
0.100657;0.972201;0.304217;
0.10066;0.974019;0.305761;
0.100663;0.975834;0.307303;
0.100666;0.977646;0.308845;
0.100669;0.979457;0.310385;
0.100672;0.981265;0.311924;
0.100675;0.98307;0.313462;
0.100678;0.984874;0.314999;
0.100681;0.986675;0.316534;
0.100684;0.988473;0.318069;
0.100687;0.990269;0.319601;
0.10069;0.992063;0.321133;
0.100693;0.993854;0.322664;
0.100696;0.995644;0.324193;
0.100699;0.99743;0.325721;
0.100702;0.999215;0.327247;
0.100705;1.001;0.328773;
0.100708;1.00278;0.330297;
0.100711;1.00455;0.33182;
0.100714;1.00633;0.333341;
0.100717;1.0081;0.334861;
0.10072;1.00987;0.33638;
0.100723;1.01164;0.337898;
0.100726;1.01341;0.339414;
0.100729;1.01517;0.340929;
0.100732;1.01693;0.342442;
0.100735;1.01869;0.343954;
0.100738;1.02045;0.345465;
0.100741;1.0222;0.346975;
0.100744;1.02395;0.348483;
0.100747;1.0257;0.34999;
0.10075;1.02745;0.351495;
0.100753;1.02919;0.352999;
0.100756;1.03094;0.354501;
0.100759;1.03268;0.356003;
0.100762;1.03441;0.357502;
0.100765;1.03615;0.359001;
0.100768;1.03788;0.360498;
0.100771;1.03961;0.361993;
0.100774;1.04134;0.363487;
0.100777;1.04307;0.36498;
0.10078;1.04479;0.366471;
0.100783;1.04651;0.367961;
0.100786;1.04823;0.36945;
