x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 5.40614223e-02  5.40614223e-02  5.40614223e-02  5.99527802e+00  5.40614223e-02  5.42772545e+00 
 5.41254223e-02  5.41254223e-02  5.41254223e-02  5.99927472e+00  5.41254223e-02  5.43931453e+00 
 5.41894223e-02  5.41894223e-02  5.41894223e-02  5.99977922e+00  5.41894223e-02  5.44826259e+00 
 5.42534223e-02  5.42534223e-02  5.42534223e-02  5.99679122e+00  5.42534223e-02  5.45471140e+00 
 5.43174223e-02  5.43174223e-02  5.43174223e-02  5.99031246e+00  5.43174223e-02  5.45882885e+00 
 5.43814223e-02  5.43814223e-02  5.43814223e-02  5.98034671e+00  5.43814223e-02  5.46081025e+00 
 5.44454223e-02  5.44454223e-02  5.44454223e-02  5.96689977e+00  5.44454223e-02  5.46087771e+00 
 5.45094223e-02  5.45094223e-02  5.45094223e-02  5.94997947e+00  5.45094223e-02  5.45927653e+00 
 5.45734223e-02  5.45734223e-02  5.45734223e-02  5.92959565e+00  5.45734223e-02  5.45626806e+00 
 5.46374223e-02  5.46374223e-02  5.46374223e-02  5.90576020e+00  5.46374223e-02  5.45211868e+00 
 5.47014223e-02  5.47014223e-02  5.47014223e-02  5.87848697e+00  5.47014223e-02  5.44708604e+00 
 5.47654223e-02  5.47654223e-02  5.47654223e-02  5.84779185e+00  5.47654223e-02  5.44140477e+00 
 5.48294223e-02  5.48294223e-02  5.48294223e-02  5.81369270e+00  5.48294223e-02  5.43527457e+00 
 5.48934223e-02  5.48934223e-02  5.48934223e-02  5.77620937e+00  5.48934223e-02  5.42885345e+00 
 5.49574223e-02  5.49574223e-02  5.49574223e-02  5.73536368e+00  5.49574223e-02  5.42225715e+00 
 5.50214223e-02  5.50214223e-02  5.50214223e-02  5.69117942e+00  5.50214223e-02  5.41556395e+00 
 5.50854223e-02  5.50854223e-02  5.50854223e-02  5.64368229e+00  5.50854223e-02  5.40882278e+00 
 5.51494223e-02  5.51494223e-02  5.51494223e-02  5.59289994e+00  5.51494223e-02  5.40206184e+00 
 5.52134223e-02  5.52134223e-02  5.52134223e-02  5.53886194e+00  5.52134223e-02  5.39529616e+00 
 5.52774223e-02  5.52774223e-02  5.52774223e-02  5.48159975e+00  5.52774223e-02  5.38853320e+00 
 5.53414223e-02  5.53414223e-02  5.53414223e-02  5.42114668e+00  5.53414223e-02  5.38177636e+00 
 5.54054223e-02  5.54054223e-02  5.54054223e-02  5.35753795e+00  5.54054223e-02  5.37502708e+00 
 5.54694223e-02  5.54694223e-02  5.54694223e-02  5.29081056e+00  5.54694223e-02  5.36828594e+00 
 5.55334223e-02  5.55334223e-02  5.55334223e-02  5.22100337e+00  5.55334223e-02  5.36155314e+00 
 5.55974223e-02  5.55974223e-02  5.55974223e-02  5.14815701e+00  5.55974223e-02  5.35482875e+00 
 5.56614223e-02  5.56614223e-02  5.56614223e-02  5.07231389e+00  5.56614223e-02  5.34811278e+00 
 5.57254223e-02  5.57254223e-02  5.57254223e-02  4.99351814e+00  5.57254223e-02  5.34140524e+00 
 5.57894223e-02  5.57894223e-02  5.57894223e-02  4.91181565e+00  5.57894223e-02  5.33470610e+00 
 5.58534223e-02  5.58534223e-02  5.58534223e-02  4.82725396e+00  5.58534223e-02  5.32801537e+00 
 5.59174223e-02  5.59174223e-02  5.59174223e-02  4.73988230e+00  5.59174223e-02  5.32133302e+00 
 5.59814223e-02  5.59814223e-02  5.59814223e-02  4.64975154e+00  5.59814223e-02  5.31465906e+00 
 5.60454223e-02  5.60454223e-02  5.60454223e-02  4.55691414e+00  5.60454223e-02  5.30799346e+00 
 5.61094223e-02  5.61094223e-02  5.61094223e-02  4.46142413e+00  5.61094223e-02  5.30133623e+00 
 5.61734223e-02  5.61734223e-02  5.61734223e-02  4.36333711e+00  5.61734223e-02  5.29468734e+00 
 5.62374223e-02  5.62374223e-02  5.62374223e-02  4.26271017e+00  5.62374223e-02  5.28804679e+00 
 5.63014223e-02  5.63014223e-02  5.63014223e-02  4.15960189e+00  5.63014223e-02  5.28141457e+00 
 5.63654223e-02  5.63654223e-02  5.63654223e-02  4.05407228e+00  5.63654223e-02  5.27479067e+00 
 5.64294223e-02  5.64294223e-02  5.64294223e-02  3.94618278e+00  5.64294223e-02  5.26817508e+00 
 5.64934223e-02  5.64934223e-02  5.64934223e-02  3.83599618e+00  5.64934223e-02  5.26156778e+00 
 5.65574223e-02  5.65574223e-02  5.65574223e-02  3.72357664e+00  5.65574223e-02  5.25496877e+00 
 5.66214223e-02  5.66214223e-02  5.66214223e-02  3.60898958e+00  5.66214223e-02  5.24837803e+00 
 5.66854223e-02  5.66854223e-02  5.66854223e-02  3.49230171e+00  5.66854223e-02  5.24179556e+00 
 5.67494223e-02  5.67494223e-02  5.67494223e-02  3.37358096e+00  5.67494223e-02  5.23522135e+00 
 5.68134223e-02  5.68134223e-02  5.68134223e-02  3.25289643e+00  5.68134223e-02  5.22865538e+00 
 5.68774223e-02  5.68774223e-02  5.68774223e-02  3.13031838e+00  5.68774223e-02  5.22209765e+00 
 5.69414223e-02  5.69414223e-02  5.69414223e-02  3.00591815e+00  5.69414223e-02  5.21554814e+00 
 5.70054223e-02  5.70054223e-02  5.70054223e-02  2.87976816e+00  5.70054223e-02  5.20900684e+00 
 5.70694223e-02  5.70694223e-02  5.70694223e-02  2.75194184e+00  5.70694223e-02  5.20247375e+00 
 5.71334223e-02  5.71334223e-02  5.71334223e-02  2.62251361e+00  5.71334223e-02  5.19594885e+00 
 5.71974223e-02  5.71974223e-02  5.71974223e-02  2.49155880e+00  5.71974223e-02  5.18943214e+00 
 5.72614223e-02  5.72614223e-02  5.72614223e-02  2.35915364e+00  5.72614223e-02  5.18292359e+00 
 5.73254223e-02  5.73254223e-02  5.73254223e-02  2.22537521e+00  5.73254223e-02  5.17642322e+00 
 5.73894223e-02  5.73894223e-02  5.73894223e-02  2.09030137e+00  5.73894223e-02  5.16993099e+00 
 5.74534223e-02  5.74534223e-02  5.74534223e-02  1.95401077e+00  5.74534223e-02  5.16344691e+00 
 5.75174223e-02  5.75174223e-02  5.75174223e-02  1.81658272e+00  5.75174223e-02  5.15697095e+00 
 5.75814223e-02  5.75814223e-02  5.75814223e-02  1.67809723e+00  5.75814223e-02  5.15050312e+00 
 5.76454223e-02  5.76454223e-02  5.76454223e-02  1.53863491e+00  5.76454223e-02  5.14404341e+00 
 5.77094223e-02  5.77094223e-02  5.77094223e-02  1.39827695e+00  5.77094223e-02  5.13759179e+00 
 5.77734223e-02  5.77734223e-02  5.77734223e-02  1.25710504e+00  5.77734223e-02  5.13114827e+00 
 5.78374223e-02  5.78374223e-02  5.78374223e-02  1.11520136e+00  5.78374223e-02  5.12471282e+00 
 5.79014223e-02  5.79014223e-02  5.79014223e-02  9.72648526e-01  5.79014223e-02  5.11828545e+00 
 5.79654223e-02  5.79654223e-02  5.79654223e-02  8.29529504e-01  5.79654223e-02  5.11186614e+00 
 5.80294223e-02  5.80294223e-02  5.80294223e-02  6.85927610e-01  5.80294223e-02  5.10545488e+00 
 5.80934223e-02  5.80934223e-02  5.80934223e-02  5.41926433e-01  5.80934223e-02  5.09905166e+00 
 5.81574223e-02  5.81574223e-02  5.81574223e-02  3.97609799e-01  5.81574223e-02  5.09265648e+00 
 5.82214223e-02  5.82214223e-02  5.82214223e-02  2.53061714e-01  5.82214223e-02  5.08626931e+00 
 5.82854223e-02  5.82854223e-02  5.82854223e-02  1.08366320e-01  5.82854223e-02  5.07989015e+00 
 5.83494223e-02  5.83494223e-02  5.83494223e-02 -3.63921537e-02  5.83494223e-02  5.07351900e+00 
 5.84134223e-02  5.84134223e-02  5.84134223e-02 -1.81129444e-01  5.84134223e-02  5.06715583e+00 
 5.84774223e-02  5.84774223e-02  5.84774223e-02 -3.25761297e-01  5.84774223e-02  5.06080065e+00 
 5.85414223e-02  5.85414223e-02  5.85414223e-02 -4.70203524e-01  5.85414223e-02  5.05445344e+00 
 5.86054223e-02  5.86054223e-02  5.86054223e-02 -6.14372042e-01  5.86054223e-02  5.04811418e+00 
 5.86694223e-02  5.86694223e-02  5.86694223e-02 -7.58182932e-01  5.86694223e-02  5.04178288e+00 
 5.87334223e-02  5.87334223e-02  5.87334223e-02 -9.01552480e-01  5.87334223e-02  5.03545952e+00 
 5.87974223e-02  5.87974223e-02  5.87974223e-02 -1.04439723e+00  5.87974223e-02  5.02914409e+00 
 5.88614223e-02  5.88614223e-02  5.88614223e-02 -1.18663403e+00  5.88614223e-02  5.02283658e+00 
 5.89254223e-02  5.89254223e-02  5.89254223e-02 -1.32818009e+00  5.89254223e-02  5.01653699e+00 
 5.89894223e-02  5.89894223e-02  5.89894223e-02 -1.46895300e+00  5.89894223e-02  5.01024529e+00 
 5.90534223e-02  5.90534223e-02  5.90534223e-02 -1.60887084e+00  5.90534223e-02  5.00396148e+00 
 5.91174223e-02  5.91174223e-02  5.91174223e-02 -1.74785214e+00  5.91174223e-02  4.99768556e+00 
 5.91814223e-02  5.91814223e-02  5.91814223e-02 -1.88581600e+00  5.91814223e-02  4.99141751e+00 
 5.92454223e-02  5.92454223e-02  5.92454223e-02 -2.02268213e+00  5.92454223e-02  4.98515731e+00 
 5.93094223e-02  5.93094223e-02  5.93094223e-02 -2.15837084e+00  5.93094223e-02  4.97890497e+00 
 5.93734223e-02  5.93734223e-02  5.93734223e-02 -2.29280316e+00  5.93734223e-02  4.97266048e+00 
 5.94374223e-02  5.94374223e-02  5.94374223e-02 -2.42590082e+00  5.94374223e-02  4.96642381e+00 
 5.95014223e-02  5.95014223e-02  5.95014223e-02 -2.55758635e+00  5.95014223e-02  4.96019497e+00 
 5.95654223e-02  5.95654223e-02  5.95654223e-02 -2.68778311e+00  5.95654223e-02  4.95397394e+00 
 5.96294223e-02  5.96294223e-02  5.96294223e-02 -2.81641529e+00  5.96294223e-02  4.94776071e+00 
 5.96934223e-02  5.96934223e-02  5.96934223e-02 -2.94340802e+00  5.96934223e-02  4.94155527e+00 
 5.97574223e-02  5.97574223e-02  5.97574223e-02 -3.06868738e+00  5.97574223e-02  4.93535762e+00 
 5.98214223e-02  5.98214223e-02  5.98214223e-02 -3.19218044e+00  5.98214223e-02  4.92916774e+00 
 5.98854223e-02  5.98854223e-02  5.98854223e-02 -3.31381532e+00  5.98854223e-02  4.92298562e+00 
 5.99494223e-02  5.99494223e-02  5.99494223e-02 -3.43352121e+00  5.99494223e-02  4.91681126e+00 
 6.00134223e-02  6.00134223e-02  6.00134223e-02 -3.55122844e+00  6.00134223e-02  4.91064464e+00 
 6.00774223e-02  6.00774223e-02  6.00774223e-02 -3.66686847e+00  6.00774223e-02  4.90448576e+00 
 6.01414223e-02  6.01414223e-02  6.01414223e-02 -3.78037401e+00  6.01414223e-02  4.89833460e+00 
 6.02054223e-02  6.02054223e-02  6.02054223e-02 -3.89167897e+00  6.02054223e-02  4.89219116e+00 
 6.02694223e-02  6.02694223e-02  6.02694223e-02 -4.00071856e+00  6.02694223e-02  4.88605542e+00 
 6.03334223e-02  6.03334223e-02  6.03334223e-02 -4.10742932e+00  6.03334223e-02  4.87992737e+00 
 6.03974223e-02  6.03974223e-02  6.03974223e-02 -4.21174913e+00  6.03974223e-02  4.87380702e+00 
 6.04614223e-02  6.04614223e-02  6.04614223e-02 -4.31361726e+00  6.04614223e-02  4.86769434e+00 
 6.05254223e-02  6.05254223e-02  6.05254223e-02 -4.41297440e+00  6.05254223e-02  4.86158932e+00 
 6.05894223e-02  6.05894223e-02  6.05894223e-02 -4.50976274e+00  6.05894223e-02  4.85549197e+00 
 6.06534223e-02  6.06534223e-02  6.06534223e-02 -4.60392592e+00  6.06534223e-02  4.84940226e+00 
 6.07174223e-02  6.07174223e-02  6.07174223e-02 -4.69540914e+00  6.07174223e-02  4.84332019e+00 
 6.07814223e-02  6.07814223e-02  6.07814223e-02 -4.78415913e+00  6.07814223e-02  4.83724574e+00 
 6.08454223e-02  6.08454223e-02  6.08454223e-02 -4.87012425e+00  6.08454223e-02  4.83117892e+00 
 6.09094223e-02  6.09094223e-02  6.09094223e-02 -4.95325444e+00  6.09094223e-02  4.82511971e+00 
 6.09734223e-02  6.09734223e-02  6.09734223e-02 -5.03350132e+00  6.09734223e-02  4.81906809e+00 
 6.10374223e-02  6.10374223e-02  6.10374223e-02 -5.11081817e+00  6.10374223e-02  4.81302407e+00 
 6.11014223e-02  6.11014223e-02  6.11014223e-02 -5.18515999e+00  6.11014223e-02  4.80698762e+00 
 6.11654223e-02  6.11654223e-02  6.11654223e-02 -5.25648351e+00  6.11654223e-02  4.80095875e+00 
 6.12294223e-02  6.12294223e-02  6.12294223e-02 -5.32474720e+00  6.12294223e-02  4.79493744e+00 
 6.12934223e-02  6.12934223e-02  6.12934223e-02 -5.38991133e+00  6.12934223e-02  4.78892368e+00 
 6.13574223e-02  6.13574223e-02  6.13574223e-02 -5.45193797e+00  6.13574223e-02  4.78291747e+00 
 6.14214223e-02  6.14214223e-02  6.14214223e-02 -5.51079101e+00  6.14214223e-02  4.77691878e+00 
 6.14854223e-02  6.14854223e-02  6.14854223e-02 -5.56643620e+00  6.14854223e-02  4.77092763e+00 
 6.15494223e-02  6.15494223e-02  6.15494223e-02 -5.61884113e+00  6.15494223e-02  4.76494398e+00 
 6.16134223e-02  6.16134223e-02  6.16134223e-02 -5.66797531e+00  6.16134223e-02  4.75896784e+00 
 6.16774223e-02  6.16774223e-02  6.16774223e-02 -5.71381014e+00  6.16774223e-02  4.75299920e+00 
 6.17414223e-02  6.17414223e-02  6.17414223e-02 -5.75631893e+00  6.17414223e-02  4.74703804e+00 
 6.18054223e-02  6.18054223e-02  6.18054223e-02 -5.79547694e+00  6.18054223e-02  4.74108436e+00 
 6.18694223e-02  6.18694223e-02  6.18694223e-02 -5.83126137e+00  6.18694223e-02  4.73513815e+00 
 6.19334223e-02  6.19334223e-02  6.19334223e-02 -5.86365140e+00  6.19334223e-02  4.72919939e+00 
 6.19974223e-02  6.19974223e-02  6.19974223e-02 -5.89262817e+00  6.19974223e-02  4.72326809e+00 
 6.20614223e-02  6.20614223e-02  6.20614223e-02 -5.91817481e+00  6.20614223e-02  4.71734422e+00 
 6.21254223e-02  6.21254223e-02  6.21254223e-02 -5.94027646e+00  6.21254223e-02  4.71142779e+00 
 6.21894223e-02  6.21894223e-02  6.21894223e-02 -5.95892025e+00  6.21894223e-02  4.70551877e+00 
 6.22534223e-02  6.22534223e-02  6.22534223e-02 -5.97409531e+00  6.22534223e-02  4.69961717e+00 
 6.23174223e-02  6.23174223e-02  6.23174223e-02 -5.98579283e+00  6.23174223e-02  4.69372296e+00 
 6.23814223e-02  6.23814223e-02  6.23814223e-02 -5.99400599e+00  6.23814223e-02  4.68783615e+00 
 6.24454223e-02  6.24454223e-02  6.24454223e-02 -5.99873001e+00  6.24454223e-02  4.68195673e+00 
 6.25094223e-02  6.25094223e-02  6.25094223e-02 -5.99996215e+00  6.25094223e-02  4.67608468e+00 
 6.25734223e-02  6.25734223e-02  6.25734223e-02 -5.99770167e+00  6.25734223e-02  4.67021999e+00 
 6.26374223e-02  6.26374223e-02  6.26374223e-02 -5.99194991e+00  6.26374223e-02  4.66436266e+00 
 6.27014223e-02  6.27014223e-02  6.27014223e-02 -5.98271020e+00  6.27014223e-02  4.65851268e+00 
 6.27654223e-02  6.27654223e-02  6.27654223e-02 -5.96998793e+00  6.27654223e-02  4.65267003e+00 
 6.28294223e-02  6.28294223e-02  6.28294223e-02 -5.95379050e+00  6.28294223e-02  4.64683471e+00 
 6.28934223e-02  6.28934223e-02  6.28934223e-02 -5.93412735e+00  6.28934223e-02  4.64100671e+00 
 6.29574223e-02  6.29574223e-02  6.29574223e-02 -5.91100991e+00  6.29574223e-02  4.63518602e+00 
 6.30214223e-02  6.30214223e-02  6.30214223e-02 -5.88445164e+00  6.30214223e-02  4.62937263e+00 
 6.30854223e-02  6.30854223e-02  6.30854223e-02 -5.85446800e+00  6.30854223e-02  4.62356654e+00 
 6.31494223e-02  6.31494223e-02  6.31494223e-02 -5.82107645e+00  6.31494223e-02  4.61776772e+00 
 6.32134223e-02  6.32134223e-02  6.32134223e-02 -5.78429643e+00  6.32134223e-02  4.61197618e+00 
 6.32774223e-02  6.32774223e-02  6.32774223e-02 -5.74414934e+00  6.32774223e-02  4.60619190e+00 
 6.33414223e-02  6.33414223e-02  6.33414223e-02 -5.70065855e+00  6.33414223e-02  4.60041488e+00 
 6.34054223e-02  6.34054223e-02  6.34054223e-02 -5.65384938e+00  6.34054223e-02  4.59464510e+00 
 6.34694223e-02  6.34694223e-02  6.34694223e-02 -5.60374908e+00  6.34694223e-02  4.58888256e+00 
 6.35334223e-02  6.35334223e-02  6.35334223e-02 -5.55038682e+00  6.35334223e-02  4.58312725e+00 
 6.35974223e-02  6.35974223e-02  6.35974223e-02 -5.49379364e+00  6.35974223e-02  4.57737916e+00 
 6.36614223e-02  6.36614223e-02  6.36614223e-02 -5.43400250e+00  6.36614223e-02  4.57163828e+00 
 6.37254223e-02  6.37254223e-02  6.37254223e-02 -5.37104821e+00  6.37254223e-02  4.56590459e+00 
 6.37894223e-02  6.37894223e-02  6.37894223e-02 -5.30496740e+00  6.37894223e-02  4.56017810e+00 
 6.38534223e-02  6.38534223e-02  6.38534223e-02 -5.23579854e+00  6.38534223e-02  4.55445879e+00 
 6.39174223e-02  6.39174223e-02  6.39174223e-02 -5.16358190e+00  6.39174223e-02  4.54874666e+00 
 6.39814223e-02  6.39814223e-02  6.39814223e-02 -5.08835952e+00  6.39814223e-02  4.54304169e+00 
 6.40000000e-02  6.40000000e-02  6.40000000e-02 -5.06596755e+00  6.40000000e-02  4.54138701e+00 
Step Information:
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.88856342e-21 
 6.40000000e-07  6.40000000e-07  6.40000000e-07  1.44764588e-03  6.40000000e-07  1.54505969e-09 
 1.20749216e-06  1.20749216e-06  1.20749216e-06  2.73128282e-03  1.20749216e-06  2.99424826e-09 
 2.34247648e-06  2.34247648e-06  2.34247648e-06  5.29855628e-03  2.34247648e-06  6.05793839e-09 
 4.61244512e-06  4.61244512e-06  4.61244512e-06  1.04330998e-02  4.61244512e-06  1.32203440e-08 
 9.15238240e-06  9.15238240e-06  9.15238240e-06  2.07021602e-02  9.15238240e-06  3.22377879e-08 
 1.82322570e-05  1.82322570e-05  1.82322570e-05  4.12400689e-02  1.82322570e-05  9.45310389e-08 
 3.59280880e-05  3.59280880e-05  3.59280880e-05  8.12649356e-02  3.59280880e-05  3.72881786e-07 
 5.69766669e-05  5.69766669e-05  5.69766669e-05  1.28868274e-01  5.69766669e-05  1.25664641e-06 
 8.36637851e-05  8.36637851e-05  8.36637851e-05  1.89211648e-01  8.36637851e-05  4.78644827e-06 
 1.14008734e-04  1.14008734e-04  1.14008734e-04  2.57802292e-01  1.14008734e-04  1.95904742e-05 
 1.48164183e-04  1.48164183e-04  1.48164183e-04  3.34965244e-01  1.48164183e-04  9.14808241e-05 
 1.85552916e-04  1.85552916e-04  1.85552916e-04  4.19368601e-01  1.85552916e-04  4.81865304e-04 
 2.25958976e-04  2.25958976e-04  2.25958976e-04  5.10489254e-01  2.25958976e-04  2.79507116e-03 
 2.69331340e-04  2.69331340e-04  2.69331340e-04  6.08166902e-01  2.69331340e-04  1.57016232e-02 
 3.16621650e-04  3.16621650e-04  3.16621650e-04  7.14481860e-01  3.16621650e-04  6.36054771e-02 
 3.74495659e-04  3.74495659e-04  3.74495659e-04  8.44277964e-01  3.74495659e-04  1.72960439e-01 
 4.29517827e-04  4.29517827e-04  4.29517827e-04  9.67306420e-01  4.29517827e-04  2.96280293e-01 
 4.93517827e-04  4.93517827e-04  4.93517827e-04  1.10988193e+00  4.93517827e-04  4.38880417e-01 
 5.57517827e-04  5.57517827e-04  5.57517827e-04  1.25181136e+00  5.57517827e-04  5.80910701e-01 
 6.21517827e-04  6.21517827e-04  6.21517827e-04  1.39301212e+00  6.21517827e-04  7.22212400e-01 
 6.85517827e-04  6.85517827e-04  6.85517827e-04  1.53340199e+00  6.85517827e-04  8.62739295e-01 
 7.49517827e-04  7.49517827e-04  7.49517827e-04  1.67289927e+00  7.49517827e-04  1.00240424e+00 
 8.13517827e-04  8.13517827e-04  8.13517827e-04  1.81142274e+00  8.13517827e-04  1.14112705e+00 
 8.77517827e-04  8.77517827e-04  8.77517827e-04  1.94889177e+00  8.77517827e-04  1.27882720e+00 
 9.41517827e-04  9.41517827e-04  9.41517827e-04  2.08522634e+00  9.41517827e-04  1.41542492e+00 
 1.00551783e-03  1.00551783e-03  1.00551783e-03  2.22034710e+00  1.00551783e-03  1.55084115e+00 
 1.06951783e-03  1.06951783e-03  1.06951783e-03  2.35417538e+00  1.06951783e-03  1.68499757e+00 
 1.13351783e-03  1.13351783e-03  1.13351783e-03  2.48663328e+00  1.13351783e-03  1.81781665e+00 
 1.19751783e-03  1.19751783e-03  1.19751783e-03  2.61764370e+00  1.19751783e-03  1.94922172e+00 
 1.26151783e-03  1.26151783e-03  1.26151783e-03  2.74713038e+00  1.26151783e-03  2.07913697e+00 
 1.32551783e-03  1.32551783e-03  1.32551783e-03  2.87501795e+00  1.32551783e-03  2.20748755e+00 
 1.38951783e-03  1.38951783e-03  1.38951783e-03  3.00123195e+00  1.38951783e-03  2.33419959e+00 
 1.45351783e-03  1.45351783e-03  1.45351783e-03  3.12569891e+00  1.45351783e-03  2.45920025e+00 
 1.51751783e-03  1.51751783e-03  1.51751783e-03  3.24834640e+00  1.51751783e-03  2.58241775e+00 
 1.58151783e-03  1.58151783e-03  1.58151783e-03  3.36910301e+00  1.58151783e-03  2.70378146e+00 
 1.64551783e-03  1.64551783e-03  1.64551783e-03  3.48789844e+00  1.64551783e-03  2.82322188e+00 
 1.70951783e-03  1.70951783e-03  1.70951783e-03  3.60466356e+00  1.70951783e-03  2.94067075e+00 
 1.77351783e-03  1.77351783e-03  1.77351783e-03  3.71933038e+00  1.77351783e-03  3.05606106e+00 
 1.83751783e-03  1.83751783e-03  1.83751783e-03  3.83183216e+00  1.83751783e-03  3.16932711e+00 
 1.90151783e-03  1.90151783e-03  1.90151783e-03  3.94210342e+00  1.90151783e-03  3.28040452e+00 
 1.96551783e-03  1.96551783e-03  1.96551783e-03  4.05007996e+00  1.96551783e-03  3.38923035e+00 
 2.02951783e-03  2.02951783e-03  2.02951783e-03  4.15569893e+00  2.02951783e-03  3.49574308e+00 
 2.09351783e-03  2.09351783e-03  2.09351783e-03  4.25889884e+00  2.09351783e-03  3.59988266e+00 
 2.15751783e-03  2.15751783e-03  2.15751783e-03  4.35961963e+00  2.15751783e-03  3.70159060e+00 
 2.22151783e-03  2.22151783e-03  2.22151783e-03  4.45780267e+00  2.22151783e-03  3.80080996e+00 
 2.28551783e-03  2.28551783e-03  2.28551783e-03  4.55339080e+00  2.28551783e-03  3.89748545e+00 
 2.34951783e-03  2.34951783e-03  2.34951783e-03  4.64632837e+00  2.34951783e-03  3.99156345e+00 
 2.41351783e-03  2.41351783e-03  2.41351783e-03  4.73656130e+00  2.41351783e-03  4.08299205e+00 
 2.47751783e-03  2.47751783e-03  2.47751783e-03  4.82403705e+00  2.47751783e-03  4.17172114e+00 
 2.54151783e-03  2.54151783e-03  2.54151783e-03  4.90870471e+00  2.54151783e-03  4.25770243e+00 
 2.60551783e-03  2.60551783e-03  2.60551783e-03  4.99051499e+00  2.60551783e-03  4.34088949e+00 
 2.66951783e-03  2.66951783e-03  2.66951783e-03  5.06942027e+00  2.66951783e-03  4.42123787e+00 
 2.73351783e-03  2.73351783e-03  2.73351783e-03  5.14537461e+00  2.73351783e-03  4.49870510e+00 
 2.79751783e-03  2.79751783e-03  2.79751783e-03  5.21833380e+00  2.79751783e-03  4.57325079e+00 
 2.86151783e-03  2.86151783e-03  2.86151783e-03  5.28825538e+00  2.86151783e-03  4.64483667e+00 
 2.92551783e-03  2.92551783e-03  2.92551783e-03  5.35509864e+00  2.92551783e-03  4.71342672e+00 
 2.98951783e-03  2.98951783e-03  2.98951783e-03  5.41882468e+00  2.98951783e-03  4.77898718e+00 
 3.05351783e-03  3.05351783e-03  3.05351783e-03  5.47939638e+00  3.05351783e-03  4.84148672e+00 
 3.11751783e-03  3.11751783e-03  3.11751783e-03  5.53677851e+00  3.11751783e-03  4.90089649e+00 
 3.18151783e-03  3.18151783e-03  3.18151783e-03  5.59093765e+00  3.18151783e-03  4.95719027e+00 
 3.24551783e-03  3.24551783e-03  3.24551783e-03  5.64184228e+00  3.24551783e-03  5.01034460e+00 
 3.30951783e-03  3.30951783e-03  3.30951783e-03  5.68946277e+00  3.30951783e-03  5.06033892e+00 
 3.37351783e-03  3.37351783e-03  3.37351783e-03  5.73377140e+00  3.37351783e-03  5.10715578e+00 
 3.43751783e-03  3.43751783e-03  3.43751783e-03  5.77474236e+00  3.43751783e-03  5.15078103e+00 
 3.50151783e-03  3.50151783e-03  3.50151783e-03  5.81235183e+00  3.50151783e-03  5.19120411e+00 
 3.56551783e-03  3.56551783e-03  3.56551783e-03  5.84657790e+00  3.56551783e-03  5.22841831e+00 
 3.62951783e-03  3.62951783e-03  3.62951783e-03  5.87740064e+00  3.62951783e-03  5.26242116e+00 
 3.69351783e-03  3.69351783e-03  3.69351783e-03  5.90480213e+00  3.69351783e-03  5.29321487e+00 
 3.75751783e-03  3.75751783e-03  3.75751783e-03  5.92876640e+00  3.75751783e-03  5.32080686e+00 
 3.82151783e-03  3.82151783e-03  3.82151783e-03  5.94927950e+00  3.82151783e-03  5.34521038e+00 
 3.88551783e-03  3.88551783e-03  3.88551783e-03  5.96632951e+00  3.88551783e-03  5.36644535e+00 
 3.94951783e-03  3.94951783e-03  3.94951783e-03  5.97990648e+00  3.94951783e-03  5.38453927e+00 
 4.01351783e-03  4.01351783e-03  4.01351783e-03  5.99000253e+00  4.01351783e-03  5.39952843e+00 
 4.07751783e-03  4.07751783e-03  4.07751783e-03  5.99661176e+00  4.07751783e-03  5.41145930e+00 
 4.14151783e-03  4.14151783e-03  4.14151783e-03  5.99973034e+00  4.14151783e-03  5.42039028e+00 
 4.20551783e-03  4.20551783e-03  4.20551783e-03  5.99935645e+00  4.20551783e-03  5.42639368e+00 
 4.26951783e-03  4.26951783e-03  4.26951783e-03  5.99549030e+00  4.26951783e-03  5.42955873e+00 
 4.33351783e-03  4.33351783e-03  4.33351783e-03  5.98813415e+00  4.33351783e-03  5.42999286e+00 
 4.39751783e-03  4.39751783e-03  4.39751783e-03  5.97729228e+00  4.39751783e-03  5.42782462e+00 
 4.46151783e-03  4.46151783e-03  4.46151783e-03  5.96297100e+00  4.46151783e-03  5.42320761e+00 
 4.52551783e-03  4.52551783e-03  4.52551783e-03  5.94517865e+00  4.52551783e-03  5.41632180e+00 
 4.58951783e-03  4.58951783e-03  4.58951783e-03  5.92392558e+00  4.58951783e-03  5.40737429e+00 
 4.65351783e-03  4.65351783e-03  4.65351783e-03  5.89922416e+00  4.65351783e-03  5.39659799e+00 
 4.71751783e-03  4.71751783e-03  4.71751783e-03  5.87108878e+00  4.71751783e-03  5.38424710e+00 
 4.78151783e-03  4.78151783e-03  4.78151783e-03  5.83953581e+00  4.78151783e-03  5.37058888e+00 
 4.84551783e-03  4.84551783e-03  4.84551783e-03  5.80458362e+00  4.84551783e-03  5.35589181e+00 
 4.90951783e-03  4.90951783e-03  4.90951783e-03  5.76625255e+00  4.90951783e-03  5.34041142e+00 
 4.97351783e-03  4.97351783e-03  4.97351783e-03  5.72456492e+00  4.97351783e-03  5.32437636e+00 
 5.03751783e-03  5.03751783e-03  5.03751783e-03  5.67954500e+00  5.03751783e-03  5.30797768e+00 
