x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 2.92542230e-03  2.92542230e-03  2.92542230e-03  5.35500118e+00  2.92542230e-03  4.71928796e+00 
 2.98942230e-03  2.98942230e-03  2.98942230e-03  5.41873190e+00  2.98942230e-03  4.78515630e+00 
 3.05342230e-03  3.05342230e-03  3.05342230e-03  5.47930834e+00  3.05342230e-03  4.84798528e+00 
 3.11742230e-03  3.11742230e-03  3.11742230e-03  5.53669525e+00  3.11742230e-03  4.90774872e+00 
 3.18142230e-03  3.18142230e-03  3.18142230e-03  5.59085923e+00  3.18142230e-03  4.96442349e+00 
 3.24542230e-03  3.24542230e-03  3.24542230e-03  5.64176874e+00  3.24542230e-03  5.01798969e+00 
 3.30942230e-03  3.30942230e-03  3.30942230e-03  5.68939415e+00  3.30942230e-03  5.06843096e+00 
 3.37342230e-03  3.37342230e-03  3.37342230e-03  5.73370774e+00  3.37342230e-03  5.11573478e+00 
 3.43742230e-03  3.43742230e-03  3.43742230e-03  5.77468371e+00  3.43742230e-03  5.15989280e+00 
 3.50142230e-03  3.50142230e-03  3.50142230e-03  5.81229821e+00  3.50142230e-03  5.20090132e+00 
 3.56542230e-03  3.56542230e-03  3.56542230e-03  5.84652934e+00  3.56542230e-03  5.23876181e+00 
 3.62942230e-03  3.62942230e-03  3.62942230e-03  5.87735718e+00  3.62942230e-03  5.27348158e+00 
 3.69342230e-03  3.69342230e-03  3.69342230e-03  5.90476378e+00  3.69342230e-03  5.30507454e+00 
 3.75742230e-03  3.75742230e-03  3.75742230e-03  5.92873319e+00  3.75742230e-03  5.33356220e+00 
 3.82142230e-03  3.82142230e-03  3.82142230e-03  5.94925146e+00  3.82142230e-03  5.35897484e+00 
 3.88542230e-03  3.88542230e-03  3.88542230e-03  5.96630664e+00  3.88542230e-03  5.38135294e+00 
 3.94942230e-03  3.94942230e-03  3.94942230e-03  5.97988881e+00  3.94942230e-03  5.40074891e+00 
 4.01342230e-03  4.01342230e-03  4.01342230e-03  5.98999005e+00  4.01342230e-03  5.41722910e+00 
 4.07742230e-03  4.07742230e-03  4.07742230e-03  5.99660450e+00  4.07742230e-03  5.43087686e+00 
 4.14142230e-03  4.14142230e-03  4.14142230e-03  5.99972829e+00  4.14142230e-03  5.44179383e+00 
 4.20542230e-03  4.20542230e-03  4.20542230e-03  5.99935961e+00  4.20542230e-03  5.45010286e+00 
 4.26942230e-03  4.26942230e-03  4.26942230e-03  5.99549867e+00  4.26942230e-03  5.45595205e+00 
 4.33342230e-03  4.33342230e-03  4.33342230e-03  5.98814773e+00  4.33342230e-03  5.45951612e+00 
 4.39742230e-03  4.39742230e-03  4.39742230e-03  5.97731106e+00  4.39742230e-03  5.46099724e+00 
 4.46142230e-03  4.46142230e-03  4.46142230e-03  5.96299497e+00  4.46142230e-03  5.46062377e+00 
