Record Length,5208,Points,-2.0000001E-3,2.3200002,,Record Length,5208,Points,-2.0000001E-3,2.4000001,,Record Length,5208,Points,-2.0000001E-3,3.52000022,,Record Length,5208,Points,-2.0000001E-3,3.60000014,
Sample Interval,768.049176259E-9,s,-1.9992320E-3,2.4800003,,Sample Interval,768.049176259E-9,s,-1.9992320E-3,2.4000001,,Sample Interval,768.049176259E-9,s,-1.9992320E-3,3.68000031,,Sample Interval,768.049176259E-9,s,-1.9992320E-3,3.60000014,
Trigger Point,2.6040002E3,Samples,-1.9984641E-3,2.4000001,,Trigger Point,2.6040002E3,Samples,-1.9984641E-3,2.4000001,,Trigger Point,2.6040002E3,Samples,-1.9984641E-3,3.52000022,,Trigger Point,2.6040002E3,Samples,-1.9984641E-3,3.60000014,
,,,-1.9976960E-3,2.4800003,,,,,-1.9976960E-3,2.4800003,,,,,-1.9976960E-3,3.68000031,,,,,-1.9976960E-3,3.60000014,
,,,-1.9969279E-3,2.4000001,,,,,-1.9969279E-3,2.4000001,,,,,-1.9969279E-3,3.52000022,,,,,-1.9969279E-3,3.60000014,
,,,-1.9961598E-3,2.5600002,,,,,-1.9961598E-3,2.4800003,,,,,-1.9961598E-3,3.68000031,,,,,-1.9961598E-3,3.60000014,
Source,Glitch Capture CH1,,-1.9953919E-3,2.4000001,,Source,Sample CH1,,-1.9953919E-3,2.4800003,,Source,Glitch Capture CH2,,-1.9953919E-3,3.52000022,,Source,Sample CH2,,-1.9953919E-3,3.60000014,
Vertical Units,V,,-1.9946238E-3,2.5600002,,Vertical Units,V,,-1.9946238E-3,2.4800003,,Vertical Units,V,,-1.9946238E-3,3.68000031,,Vertical Units,V,,-1.9946238E-3,3.60000014,
Vertical Scale,2.0000001,,-1.9938557E-3,2.4800003,,Vertical Scale,2.0000001,,-1.9938557E-3,2.4800003,,Vertical Scale,2.0000001,,-1.9938557E-3,3.52000022,,Vertical Scale,2.0000001,,-1.9938557E-3,3.60000014,
Vertical Offset,0,,-1.9930876E-3,2.5600002,,Vertical Offset,0,,-1.9930876E-3,2.5600002,,Vertical Offset,0,,-1.9930876E-3,3.68000031,,Vertical Offset,0,,-1.9930876E-3,3.60000014,
Horizontal Units,s,,-1.9923197E-3,2.4800003,,Horizontal Units,s,,-1.9923197E-3,2.5600002,,Horizontal Units,s,,-1.9923197E-3,3.52000022,,Horizontal Units,s,,-1.9923197E-3,3.60000014,
Horizontal Scale,400.00001100E-6,,-1.9915516E-3,2.6400001,,Horizontal Scale,400.00001100E-6,,-1.9915516E-3,2.5600002,,Horizontal Scale,400.00001100E-6,,-1.9915516E-3,3.68000031,,Horizontal Scale,400.00001100E-6,,-1.9915516E-3,3.60000014,
Pt Fmt,Y,,-1.9907835E-3,2.4800003,,Pt Fmt,Y,,-1.9907835E-3,2.5600002,,Pt Fmt,Y,,-1.9907835E-3,3.52000022,,Pt Fmt,Y,,-1.9907835E-3,3.60000014,
Yzero,0.0,,-1.9900154E-3,2.6400001,,Yzero,0.0,,-1.9900154E-3,2.5600002,,Yzero,0.0,,-1.9900154E-3,3.68000031,,Yzero,0.0,,-1.9900154E-3,3.60000014,
Probe Atten,10.0000000,,-1.9892475E-3,2.5600002,,Probe Atten,10.0000000,,-1.9892475E-3,2.6400001,,Probe Atten,10.0000000,,-1.9892475E-3,3.52000022,,Probe Atten,10.0000000,,-1.9892475E-3,3.60000014,
,,,-1.9884794E-3,2.6400001,,,,,-1.9884794E-3,2.6400001,,,,,-1.9884794E-3,3.68000031,,,,,-1.9884794E-3,3.52000022,
Note,DPO2012 - 오후 5:53:15   2024-09-11,,-1.9877113E-3,2.5600002,,Note,DPO2012 - 오후 5:53:15   2024-09-11,,-1.9877113E-3,2.6400001,,Note,DPO2012 - 오후 5:53:15   2024-09-11,,-1.9877113E-3,3.52000022,,Note,DPO2012 - 오후 5:53:15   2024-09-11,,-1.9877113E-3,3.60000014,
,,,-1.9869432E-3,2.72000027,,,,,-1.9869432E-3,2.6400001,,,,,-1.9869432E-3,3.68000031,,,,,-1.9869432E-3,3.60000014,
,,,-1.9861753E-3,2.5600002,,,,,-1.9861753E-3,2.6400001,,,,,-1.9861753E-3,3.52000022,,,,,-1.9861753E-3,3.60000014,
,,,-1.9854072E-3,2.72000027,,,,,-1.9854072E-3,2.72000027,,,,,-1.9854072E-3,3.68000031,,,,,-1.9854072E-3,3.60000014,
,,,-1.9846391E-3,2.6400001,,,,,-1.9846391E-3,2.72000027,,,,,-1.9846391E-3,3.52000022,,,,,-1.9846391E-3,3.60000014,
,,,-1.9838710E-3,2.80000019,,,,,-1.9838710E-3,2.72000027,,,,,-1.9838710E-3,3.68000031,,,,,-1.9838710E-3,3.60000014,
,,,-1.9831031E-3,2.6400001,,,,,-1.9831031E-3,2.72000027,,,,,-1.9831031E-3,3.52000022,,,,,-1.9831031E-3,3.60000014,
